Name,Age,Tm,Lg,Lev,W,Aff,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Skylar Gonzalez,23,TPA,SSC,NCAA,16,,0,1.000,2.46,2.81,18,18,,0,0,0,102.1,87,32,28,9,23,0,67,11,0,6,416,1.075,7.7,0.8,2.0,5.9,2.91
Alex Canney,21,TPA,SSC,NCAA,14,,3,.824,3.21,4.05,19,19,,1,0,0,106.2,105,48,38,2,21,1,99,16,0,3,456,1.181,8.9,0.2,1.8,8.4,4.71
Cesar Avila,22,UCU,MSC,NAIA,13,,0,1.000,2.85,3.46,15,15,,3,2,0,88.1,62,34,28,7,28,,124,16,0,4,369,1.019,6.3,0.7,2.9,12.6,4.43
A.J. Causey,21,TEN,SEC,NCAA,13,,3,.813,4.43,5.22,19,6,,0,0,1,91.1,93,53,45,13,22,1,125,10,0,2,393,1.259,9.2,1.3,2.2,12.3,5.68
Michael Ross,21,SAM,SoCo,NCAA,13,,0,1.000,3.27,3.55,15,15,,1,1,0,96.1,86,38,35,11,21,0,88,10,1,2,400,1.111,8.0,1.0,2.0,8.2,4.19
Cord Butler,--,NCW,USAS,NCAA,12,,0,1.000,2.42,3.39,15,14,,2,1,0,93.0,64,35,25,4,50,0,118,19,1,14,406,1.226,6.2,0.4,4.8,11.4,2.36
Sayers Collins,--,ETB,ASWC,NCAA,12,,1,.923,1.23,1.64,14,14,,2,1,0,88.0,50,16,12,4,26,1,92,9,0,3,350,0.864,5.1,0.4,2.7,9.4,3.54
Brian Ereu,--,USA,SOAC,NAIA,12,,2,.857,4.69,5.63,18,18,,2,1,0,86.1,94,54,45,13,23,,89,16,1,1,389,1.355,9.8,1.4,2.4,9.3,3.87
Brent Francisco,23,ESU,PSAC,NCAA,12,,1,.923,1.91,2.52,15,15,,5,3,0,89.1,60,25,19,4,10,0,84,6,0,6,336,0.784,6.0,0.4,1.0,8.5,8.40
Ryan Markwardt,--,LCU,LSC,NCAA,12,,1,.923,6.10,7.08,17,14,,0,0,1,82.2,95,65,56,9,49,0,81,9,0,8,394,1.742,10.3,1.0,5.3,8.8,1.65
Mason Martinez,22,GSU,SWAC,NCAA,12,,3,.800,4.74,5.05,19,17,,5,1,0,114.0,116,64,60,4,41,1,85,9,0,19,490,1.377,9.2,0.3,3.2,6.7,2.07
Matthew Matthijs,20,UNC,ACC,NCAA,12,,4,.750,3.72,4.50,36,0,,0,0,0,58.0,49,29,24,5,18,0,56,5,0,2,241,1.155,7.6,0.8,2.8,8.7,3.11
