Rk,Name,Age,Tm,Lg,Lev,BA,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,OBP,SLG,OPS,TB,GDP,HBP,SH,SF
Aaron Flanagan,--,CHO,CIAA,NCAA,.430,,37,137,114,32,49,8,2,7,31,2,1,13,37,.511,.719,1.230,82,,8,0,2,0
Nick Hart,20,UNC,SUNY,NCAA,.430,,37,128,107,34,46,4,0,0,23,10,2,11,6,.500,.467,.967,50,,5,4,1,0
Casey Grimes,--,ROW,NJAC,NCAA,.429,,39,190,163,39,70,11,1,7,44,6,1,18,26,.500,.638,1.138,104,,7,0,2,4
David Lee,--,TPB,HLC,NCAA,.428,,43,163,138,32,59,11,2,0,32,13,5,13,16,.468,.536,1.005,74,,2,5,5,0
Albert Baur,23,NWB,SAC,NCAA,.427,,52,245,206,54,88,24,2,16,59,3,2,28,23,.510,.796,1.306,164,,9,0,2,7
Joey Nieves-Markee,--,CAI,CSAC,NCAA,.427,,38,154,124,34,53,6,0,0,11,16,2,20,22,.527,.476,1.002,59,,6,4,0,0
Chris Hoffman,21,MSS,MIAA,NCAA,.426,,54,228,195,56,83,16,3,8,39,18,4,22,42,.489,.662,1.150,129,,3,7,1,1
Alex Perry,--,SRU,COCC,NCAA,.426,,37,154,136,26,58,11,0,10,58,2,2,8,24,.474,.728,1.202,99,,7,0,3,2
Isaac Glenn,--,MSC,SAA,NCAA,.425,,43,195,160,40,68,17,1,4,45,8,1,20,25,.508,.619,1.126,99,,11,0,4,0
David Schlosser,--,BAR,LIBL,NCAA,.425,,35,145,113,33,48,5,1,0,8,17,4,18,12,.536,.487,1.022,55,,9,5,0,0
Nick Bornhauser,22,CCM,MNIC,NCAA,.424,,36,150,125,44,53,19,2,7,47,0,3,19,16,.507,.776,1.283,97,,4,0,2,0
Jason Morozowski,21,MOC,CCar,NCAA,.424,,55,258,224,78,95,19,0,21,82,17,1,22,33,.481,.790,1.271,177,,7,0,5,1
Brian Walker,--,PBA,D2IN,NCAA,.424,,45,195,170,33,72,11,0,2,29,27,6,6,18,.477,.524,1.000,89,,14,2,3,0
Kyle Wenger,20,DVC,FREC,NCAA,.424,,36,143,118,36,50,8,5,5,29,22,2,18,10,.510,.703,1.214,83,,5,0,2,1
Jonathan Munn,--,LBG,ODAC,NCAA,.423,,34,159,130,26,55,10,0,2,31,1,0,25,17,.513,.546,1.059,71,,0,3,1,0
Max Waletich,21,MSK,NSUN,NCAA,.423,,46,192,163,38,69,11,0,9,54,1,0,15,13,.487,.656,1.143,107,,9,1,4,0
Donnie Dewees,21,UNF,ASun,NCAA,.422,,60,287,251,88,106,12,8,18,68,23,3,30,16,.483,.749,1.232,188,,2,1,3,5
Mick Fennell,21,CUP,PSAC,NCAA,.422,,47,196,173,59,73,12,8,7,29,15,4,13,8,.469,.705,1.174,122,,5,2,3,1
Jensen Park,22,NCO,WAC,NCAA,.422,,43,192,173,38,73,11,3,6,34,13,5,11,17,.468,.624,1.093,108,,5,2,1,1
Cory Podvasnik,--,LAR,AMCC,NCAA,.422,,38,134,102,41,43,9,0,11,41,11,1,20,17,.538,.833,1.371,85,,8,2,2,0
Melvin Rodriguez,24,JSU,SWAC,NCAA,.421,,55,264,221,59,93,22,3,6,60,13,2,30,14,.477,.629,1.106,139,,2,2,9,2
Luke Gatti,--,EZC,COMC,NCAA,.420,,41,177,157,19,66,13,0,0,40,1,0,14,18,.469,.503,.972,79,,3,0,3,2
Tony Grannis,--,MRW,NATH,NCAA,.420,,40,180,150,47,63,17,0,1,29,7,1,26,19,.514,.553,1.067,83,,3,1,0,0
Joe Hall,--,EMU,ODAC,NCAA,.420,,31,134,112,26,47,5,0,0,14,9,3,14,6,.489,.464,.953,52,,3,3,2,0
Jamie Lackner,20,WOO,NCAC,NCAA,.420,,45,220,176,59,74,16,1,17,69,1,1,26,19,.532,.813,1.344,143,,17,0,1,2
Jonathan Sarty,21,SHP,MEC,NCAA,.420,,47,195,169,50,71,18,1,9,48,16,5,9,20,.472,.698,1.170,118,,11,2,4,0
Kyle Lieser,--,SCS,NSUN,NCAA,.419,,53,189,155,34,65,10,0,3,33,2,1,24,23,.500,.542,1.042,84,,4,3,3,0
Joseph Saufley,--,MES,COMC,NCAA,.419,,36,140,129,29,54,12,7,5,30,6,1,9,15,.464,.736,1.201,95,,2,0,0,1
