Name,Age,Tm,Lg,Lev,W,Aff,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Dalton Neuschwander,--,WFL,GSC,NCAA,10,,0,1.000,1.87,2.75,16,16,,3,1,0,101.1,73,31,21,2,27,0,77,11,0,10,411,0.987,6.5,0.2,2.4,6.8,2.85
Bryan Peck,20,WMT,GSAC,NAIA,10,,1,.909,3.11,3.53,16,16,,1,,0,107.0,91,42,37,8,25,,109,,,,,1.084,7.7,0.7,2.1,9.2,4.36
Cooper Rawls,--,ULL,SBC,NCAA,10,,1,.909,3.88,4.14,27,5,,0,0,2,67.1,59,31,29,8,19,0,53,9,0,1,285,1.158,7.9,1.1,2.5,7.1,2.79
Mike Reagan,23,BAU,SSC,NCAA,10,,2,.833,3.33,4.07,16,16,,1,0,0,97.1,88,44,36,6,34,1,95,4,0,12,419,1.253,8.1,0.6,3.1,8.8,2.79
Connor Rudy,23,GSU,SWAC,NCAA,10,,4,.714,6.24,6.85,16,16,,1,0,0,88.0,105,67,61,5,36,1,63,9,3,16,407,1.602,10.7,0.5,3.7,6.4,1.75
Matt Savedoff,--,JHU,CENT,NCAA,10,,0,1.000,3.00,4.04,17,9,,1,0,1,69.0,64,31,23,3,27,0,70,6,0,1,299,1.319,8.3,0.4,3.5,9.1,2.59
Andrew Shirah,--,WCC,SSAC,NAIA,10,,1,.909,4.35,5.54,16,16,,5,,0,91.0,72,56,44,7,49,,86,,,,,1.330,7.1,0.7,4.8,8.5,1.76
Jared Showalter,23,SSU,SIAC,NCAA,10,,2,.833,3.97,5.29,14,13,,1,1,0,68.0,63,40,30,3,30,0,69,6,1,11,303,1.368,8.3,0.4,4.0,9.1,2.30
Ryan Slater,21,UFL,SEC,NCAA,10,,1,.909,4.22,4.37,27,3,,0,0,3,59.2,55,29,28,9,19,1,48,5,0,2,255,1.240,8.3,1.4,2.9,7.2,2.53
Darien Smith,23,SEU,TSC,NAIA,10,,3,.769,2.94,3.89,18,16,,2,,0,85.2,64,37,28,8,37,,127,,,,,1.179,6.7,0.8,3.9,13.3,3.43
Bryce Taylor,19,CCM,AMWC,NAIA,10,,4,.714,3.22,3.90,16,15,,5,,0,92.1,86,40,33,5,25,,81,,,,,1.202,8.4,0.5,2.4,7.9,3.24
Brian Thomas,--,WPU,HAAC,NAIA,10,,3,.769,4.38,5.21,14,13,,4,,1,76.0,68,44,37,7,34,,98,,,,,1.342,8.1,0.8,4.0,11.6,2.88
Zach Trevino,--,MAN,HAAC,NAIA,10,,2,.833,3.95,4.86,19,17,,6,,1,109.1,104,59,48,7,42,,107,,,,,1.335,8.6,0.6,3.5,8.8,2.55
Gabe Van Emon,22,EDC,COCC,NCAA,10,,2,.833,1.88,2.40,16,14,,2,1,1,86.1,64,23,18,0,25,0,108,7,0,4,352,1.031,6.7,0.0,2.6,11.3,4.32
Hurston Waldrep,21,UFL,SEC,NCAA,10,,3,.769,4.16,4.43,19,19,,0,0,0,101.2,85,50,47,12,57,0,156,9,0,11,449,1.397,7.5,1.1,5.0,13.8,2.74
Gage Williams,23,GGC,CAC,NAIA,10,,1,.909,3.65,4.22,15,13,,3,,1,79.0,68,37,32,6,30,,106,,,,,1.241,7.7,0.7,3.4,12.1,3.53
Cole Woods,--,MSS,MIAA,NCAA,10,,3,.769,3.71,3.71,17,17,,0,0,0,99.1,87,41,41,13,25,0,109,14,0,3,409,1.128,7.9,1.2,2.3,9.9,4.36
Brant Alazaus,24,XAV,BigE,NCAA,9,,3,.750,3.89,4.15,17,17,,1,1,0,106.1,91,49,46,20,8,0,102,3,2,2,423,0.931,7.7,1.7,0.7,8.6,12.75
Joe Alegre,20,ERS,CCar,NCAA,9,,3,.750,5.32,6.27,13,13,,0,0,0,66.0,102,46,39,9,13,0,61,8,3,4,321,1.742,13.9,1.2,1.8,8.3,4.69
Mike Andreoli,--,MOL,ECC,NCAA,9,,0,1.000,4.45,4.88,11,10,,1,0,0,62.2,63,34,31,3,22,0,50,4,0,2,273,1.356,9.0,0.4,3.2,7.2,2.27
Sam Armstrong,22,ODU,SBC,NCAA,9,,4,.692,3.51,3.86,15,15,,0,0,0,77.0,69,33,30,7,28,0,72,13,1,5,335,1.260,8.1,0.8,3.3,8.4,2.57
Coltin Atkinson,20,SHS,WAC,NCAA,9,,5,.643,4.80,5.98,17,17,,1,0,0,84.1,89,56,45,15,29,0,70,3,1,6,370,1.399,9.5,1.6,3.1,7.5,2.41
Jack Bachmore,--,LBG,ODAC,NCAA,9,,1,.900,2.44,2.67,29,2,,0,0,13,81.0,64,24,22,6,29,1,98,2,0,3,330,1.148,7.1,0.7,3.2,10.9,3.38
Isaac Baez,22,MAC,SOAC,NAIA,9,,3,.750,4.50,5.23,16,16,,2,,0,86.0,108,50,43,12,12,,93,,,,,1.395,11.3,1.3,1.3,9.7,7.75
Lalo Barraza,--,OIT,CCC,NAIA,9,,2,.818,5.37,6.95,15,13,,0,,0,68.2,68,53,41,10,27,,47,,,,,1.383,8.9,1.3,3.5,6.2,1.74
Danny Batcher,22,SEU,TSC,NAIA,9,,0,1.000,2.93,2.93,16,12,,1,,0,67.2,43,22,22,4,34,,83,,,,,1.138,5.7,0.5,4.5,11.0,2.44
Drew Beam,20,TEN,SEC,NCAA,9,,4,.692,3.63,5.23,17,17,,1,0,0,84.1,88,49,34,12,23,0,88,5,0,3,365,1.316,9.4,1.3,2.5,9.4,3.83
Dylan Beers,20,UNC,SUNY,NCAA,9,,1,.900,2.42,2.42,12,11,,1,1,0,63.1,36,17,17,2,15,2,65,8,1,1,243,0.805,5.1,0.3,2.1,9.2,4.33
