Name,Age,Tm,Lg,Lev,W,Aff,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Sean Hoey,22,HOP,MICA,NCAA,16,,0,1.000,3.18,3.69,26,24,,0,0,0,141.1,110,58,50,6,52,0,160,18,0,14,604,1.146,7.0,0.4,3.3,10.2,3.08
Jeremy Adorno,--,SAU,GAC,NCAA,15,,0,1.000,2.83,3.22,17,17,,8,4,0,114.2,80,41,36,9,41,0,136,14,0,7,470,1.055,6.3,0.7,3.2,10.7,3.32
Robb Adams,23,SEU,TSC,NAIA,14,,2,.875,2.45,3.09,18,18,,5,,0,113.2,85,39,31,7,26,,133,,,,,0.977,6.7,0.6,2.1,10.5,5.12
Baxter Halligan,--,PLN,PWC,NCAA,14,,2,.875,2.07,2.07,17,17,,0,0,0,100.0,78,23,23,7,22,0,120,2,1,1,391,1.000,7.0,0.6,2.0,10.8,5.45
Trent Sellers,22,LCS,CCC,NAIA,14,,0,1.000,1.98,2.23,21,18,,1,,2,109.0,80,27,24,4,22,,140,,,,,0.936,6.6,0.3,1.8,11.6,6.36
Trent Valentine,--,MRT,OHAC,NCAA,14,,1,.933,1.96,2.06,18,16,,1,0,0,91.2,73,21,20,1,25,0,74,3,0,4,357,1.069,7.2,0.1,2.5,7.3,2.96
Kobe Foster,24,TWU,APAC,NAIA,13,,1,.929,1.42,2.22,15,15,,1,,0,101.1,57,25,16,7,24,,139,,,,,0.799,5.1,0.6,2.1,12.3,5.79
Kevin Miranda,23,LSS,RRAC,NAIA,13,,1,.929,2.44,2.94,20,17,,1,,0,88.2,78,29,24,3,13,,156,,,,,1.026,7.9,0.3,1.3,15.8,12.00
Bryan Albee,--,ECS,LEC,NCAA,12,,0,1.000,1.79,2.00,26,9,,0,0,5,85.2,59,19,17,3,22,1,63,12,0,2,338,0.946,6.2,0.3,2.3,6.6,2.86
Haden Erbe,23,TPA,SSC,NCAA,12,,2,.857,2.77,3.53,18,17,,0,0,0,94.1,83,37,29,3,33,4,117,10,0,19,403,1.230,7.9,0.3,3.1,11.2,3.55
Colton Hale,23,UIS,GLVC,NCAA,12,,2,.857,3.58,3.99,16,16,,0,0,0,88.0,81,39,35,9,25,0,91,8,0,2,376,1.205,8.3,0.9,2.6,9.3,3.64
Tom Harrington,20,CPB,BigS,NCAA,12,,2,.857,2.53,3.11,15,15,,0,0,0,92.2,69,32,26,1,18,0,111,9,0,7,370,0.939,6.7,0.1,1.7,10.8,6.17
Billy Oldham,21,ECS,LEC,NCAA,12,,2,.857,2.53,2.63,16,15,,2,2,1,96.0,76,28,27,5,24,0,120,4,1,4,383,1.042,7.1,0.5,2.3,11.3,5.00
Matt Plaehn,--,HOP,MICA,NCAA,12,,4,.750,6.25,6.82,24,6,,0,0,0,63.1,66,48,44,6,44,0,64,4,4,4,292,1.737,9.4,0.9,6.3,9.1,1.45
July Sosa,25,FAU,SSAC,NAIA,12,,1,.923,1.72,2.01,15,14,,5,,1,94.0,55,21,18,4,23,,131,,,,,0.830,5.3,0.4,2.2,12.5,5.70
Will Valenti,--,EDW,ANI,NAIA,12,,4,.750,6.24,7.45,27,23,,1,0,0,118.1,136,98,82,12,50,,109,9,2,5,274,1.572,10.3,0.9,3.8,8.3,2.18
Bobby Vath,22,LSS,RRAC,NAIA,12,,0,1.000,2.40,3.04,19,18,,2,,0,97.2,77,33,26,6,25,,126,,,,,1.044,7.1,0.6,2.3,11.6,5.04
Pablo Barquero,--,RDT,APAC,NAIA,11,,0,1.000,2.85,3.69,14,12,,3,,0,85.1,86,35,27,8,25,,64,,,,,1.301,9.1,0.8,2.6,6.8,2.56
Sayers Collins,--,ETB,ASWC,NCAA,11,,2,.846,2.55,2.65,13,13,,8,4,0,88.1,51,26,25,6,27,0,121,7,0,3,352,0.883,5.2,0.6,2.8,12.3,4.48
Blake Crippen,--,BVU,NSAA,NAIA,11,,4,.733,3.20,3.75,16,13,,3,,0,81.2,82,34,29,5,21,,66,,,,,1.261,9.0,0.6,2.3,7.3,3.14
Dawson Day,23,LCS,CCC,NAIA,11,,0,1.000,2.12,2.38,17,12,,0,,1,68.0,24,18,16,5,37,,107,,,,,0.897,3.2,0.7,4.9,14.2,2.89
Reece Fields,20,NGU,CCar,NCAA,11,,2,.846,3.81,4.60,20,20,,2,0,0,101.2,95,52,43,7,32,0,101,10,0,16,445,1.249,8.4,0.6,2.8,8.9,3.16
Pat Gallagher,22,UCN,BigE,NCAA,11,,3,.786,3.41,3.76,17,17,,1,1,0,103.0,97,43,39,11,29,0,110,3,0,7,431,1.223,8.5,1.0,2.5,9.6,3.79
Hector Garcia,20,HIU,GSAC,NAIA,11,,1,.917,3.28,3.77,13,13,,3,,0,74.0,41,31,27,4,26,,111,,,,,0.905,5.0,0.5,3.2,13.5,4.27
Tyler Gronert,22,MSE,NATH,NCAA,11,,3,.786,2.23,2.91,14,13,,8,4,0,92.2,60,30,23,3,15,0,97,18,0,8,377,0.809,5.8,0.3,1.5,9.4,6.47
