Name,Age,Tm,Lg,Lev,W,Aff,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Pete Hansen,21,UTX,B12,NCAA,11,,3,.786,3.76,3.93,17,17,,1,1,0,107.2,94,47,45,16,19,0,120,5,0,2,433,1.050,7.9,1.3,1.6,10.0,6.32
Cooper Hjerpe,21,ORS,P12,NCAA,11,,2,.846,2.53,2.70,18,17,,0,0,1,103.1,67,31,29,3,23,0,161,10,0,3,407,0.871,5.8,0.3,2.0,14.0,7.00
Elijah Johnson,23,BVU,NSAA,NAIA,11,,2,.846,1.96,1.96,18,16,,9,,2,101.0,49,22,22,8,36,,153,,,,,0.842,4.4,0.7,3.2,13.6,4.25
Hunter Kloke,23,ISE,RSC,NAIA,11,,4,.733,2.87,3.56,17,14,,2,,0,91.0,86,36,29,6,28,,104,,,,,1.253,8.5,0.6,2.8,10.3,3.71
Josh Lanham,21,LRC,SAC,NCAA,11,,1,.917,2.40,2.90,15,14,,3,1,0,90.0,75,29,24,6,24,0,112,6,0,16,374,1.100,7.5,0.6,2.4,11.2,4.67
Josh Loeschorn,22,LIU,NEC,NCAA,11,,3,.786,3.06,4.64,17,16,,0,,1,97.0,87,50,33,10,29,0,104,11,0,2,422,1.196,8.1,0.9,2.7,9.6,3.59
Kody Long,--,MIL,SIAC,NCAA,11,,2,.846,5.87,7.83,16,14,,3,2,0,87.1,112,76,57,5,26,0,80,14,0,12,416,1.580,11.5,0.5,2.7,8.2,3.08
Reid Long,--,BWR,ODAC,NCAA,11,,2,.846,2.36,2.83,13,12,,0,0,0,76.1,61,24,20,0,16,0,67,4,0,3,304,1.009,7.2,0.0,1.9,7.9,4.19
Rhett Lowder,20,WKF,ACC,NCAA,11,,3,.786,3.08,4.08,16,16,,1,0,0,99.1,91,45,34,9,26,0,105,8,0,7,419,1.178,8.2,0.8,2.4,9.5,4.04
Nick Marshall,21,WTA,LSC,NCAA,11,,4,.733,4.69,5.63,16,16,,1,0,0,86.1,96,54,45,14,40,0,81,5,2,2,393,1.575,10.0,1.5,4.2,8.4,2.03
Dylan Martin,--,WIU,TSC,NAIA,11,,5,.688,3.96,4.61,19,17,,2,,0,111.1,109,57,49,16,29,,110,,,,,1.240,8.8,1.3,2.3,8.9,3.79
Nick Merkel,23,CMU,HAAC,NAIA,11,,4,.733,2.29,2.38,16,16,,9,,0,106.0,75,28,27,4,26,,136,,,,,0.953,6.4,0.3,2.2,11.5,5.23
Aaron Munson,20,ASU,LSC,NCAA,11,,3,.786,4.77,5.63,20,17,,2,1,0,94.1,104,59,50,16,21,1,81,5,0,4,407,1.325,9.9,1.5,2.0,7.7,3.86
Enrico Peele,22,SSU,SIAC,NCAA,11,,3,.786,4.05,4.39,14,14,,2,0,0,80.0,79,39,36,3,39,0,64,5,0,9,358,1.475,8.9,0.3,4.4,7.2,1.64
Austin Peterson,22,UCN,BigE,NCAA,11,,3,.786,3.83,4.73,18,17,,0,0,0,110.1,100,58,47,13,25,0,147,10,1,1,460,1.133,8.2,1.1,2.0,12.0,5.88
Ryan Ramsey,21,UMD,BTen,NCAA,11,,1,.917,3.22,3.61,16,15,,1,1,0,92.1,63,37,33,6,41,0,90,10,0,4,382,1.126,6.1,0.6,4.0,8.8,2.20
Adam Riggleman,21,GSC,MEC,NCAA,11,,2,.846,2.83,3.59,15,13,,4,1,1,82.2,72,33,26,8,24,0,106,12,0,7,351,1.161,7.8,0.9,2.6,11.5,4.42
Tanner Schoeninger,--,OCU,SOAC,NAIA,11,,0,1.000,3.69,3.90,14,14,,4,,0,83.0,73,36,34,7,23,,68,,,,,1.157,7.9,0.8,2.5,7.4,2.96
Tyler Schweitzer,21,BSU,MAC,NCAA,11,,2,.846,2.65,2.85,17,16,,2,1,0,91.2,69,29,27,5,30,1,112,3,0,5,378,1.080,6.8,0.5,2.9,11.0,3.73
Luke Shively,--,TYU,CRS,NAIA,11,,2,.846,2.92,3.70,16,15,,3,,0,92.1,65,38,30,4,35,,97,,,,,1.083,6.3,0.4,3.4,9.5,2.77
David Theriot,--,TWU,SOAC,NAIA,11,,2,.846,1.94,2.91,25,3,,0,,1,55.2,41,18,12,3,17,,43,,,,,1.042,6.6,0.5,2.7,7.0,2.53
Jaylyn Whitehead,25,ROL,SSC,NCAA,11,,3,.786,1.81,2.47,18,17,,3,1,0,124.0,88,34,25,6,29,0,112,7,0,7,492,0.944,6.4,0.4,2.1,8.1,3.86
Tucker Alch,21,CAT,LANC,NCAA,10,,3,.769,3.31,4.58,15,14,,3,1,0,92.1,94,47,34,2,13,2,117,13,2,13,401,1.159,9.2,0.2,1.3,11.4,9.00
Nick Altermatt,22,MSK,NSUN,NCAA,10,,1,.909,2.93,3.24,11,11,,1,0,0,58.1,49,21,19,2,16,0,75,4,1,5,241,1.114,7.6,0.3,2.5,11.6,4.69
Mike Andreoli,--,MOL,ECC,NCAA,10,,3,.769,4.24,4.86,14,14,,2,0,0,87.0,92,47,41,7,27,0,56,4,0,4,374,1.368,9.5,0.7,2.8,5.8,2.07
Jake Bennett,21,UOK,B12,NCAA,10,,4,.714,3.69,4.38,20,19,,0,0,1,117.0,106,57,48,9,22,0,133,9,0,6,486,1.094,8.2,0.7,1.7,10.2,6.05
John Michael Bertrand,24,UND,ACC,NCAA,10,,3,.769,2.81,3.22,18,18,,0,0,0,109.0,97,39,34,8,21,0,111,8,0,8,447,1.083,8.0,0.7,1.7,9.2,5.29
Lucas Bixby,21,VAN,GSAC,NAIA,10,,0,1.000,3.12,3.33,14,13,,1,,0,83.2,87,31,29,6,14,,54,,,,,1.207,9.4,0.6,1.5,5.8,3.86
Kyle Bloor,22,TWU,APAC,NAIA,10,,0,1.000,5.06,6.05,23,8,,0,,1,64.0,68,43,36,8,28,,70,,,,,1.500,9.6,1.1,3.9,9.8,2.50
Jameson Campbell,--,WJC,PRES,NCAA,10,,2,.833,3.10,4.39,15,13,,2,1,1,69.2,56,34,24,3,31,0,70,13,0,6,308,1.249,7.2,0.4,4.0,9.0,2.26
Justin Campbell,23,TNU,GMAC,NCAA,10,,3,.769,4.19,4.74,13,13,,3,1,0,81.2,88,43,38,7,20,0,71,6,0,0,360,1.322,9.7,0.8,2.2,7.8,3.55
Joseph Chavana,20,TTX,SCAC,NCAA,10,,2,.833,4.17,4.96,19,9,,4,2,2,90.2,93,50,42,7,20,0,80,8,1,8,390,1.246,9.2,0.7,2.0,7.9,4.00
Baley Coleman,--,LGC,USAS,NCAA,10,,1,.909,3.41,4.15,18,16,,0,0,0,97.2,86,45,37,6,30,1,96,10,0,8,415,1.188,7.9,0.6,2.8,8.8,3.20
Eli Davis,24,OCU,SOAC,NAIA,10,,1,.909,1.45,1.57,13,13,,0,,0,74.1,46,13,12,4,21,,95,,,,,0.901,5.6,0.5,2.5,11.5,4.52
Chase Dollander,20,TEN,SEC,NCAA,10,,0,1.000,2.39,2.85,16,14,,0,0,0,79.0,50,25,21,7,13,0,108,2,0,1,306,0.797,5.7,0.8,1.5,12.3,8.31
Jared Donalson,--,GSW,PBC,NCAA,10,,3,.769,1.81,2.72,16,15,,3,1,1,99.1,70,30,20,3,24,0,121,3,0,12,404,0.946,6.3,0.3,2.2,11.0,5.04
Adam Dorstewitz,--,KZC,MICA,NCAA,10,,0,1.000,5.06,5.40,28,4,,0,0,0,53.1,60,32,30,6,26,0,60,2,2,8,242,1.613,10.1,1.0,4.4,10.1,2.31
Ryan Feczko,21,DVD,A10,NCAA,10,,0,1.000,3.21,4.07,15,15,,0,0,0,73.0,61,33,26,12,20,0,60,4,0,4,300,1.110,7.5,1.5,2.5,7.4,3.00
Ethan Foley,--,RDT,APAC,NAIA,10,,5,.667,2.34,3.47,18,13,,7,,0,111.2,88,43,29,10,24,,94,,,,,1.003,7.1,0.8,1.9,7.6,3.92
Wesley Gafford,22,SEU,LSC,NCAA,10,,3,.769,3.91,4.77,15,15,,3,0,0,103.2,117,55,45,8,29,0,101,9,0,7,454,1.408,10.2,0.7,2.5,8.8,3.48
Andrew Garcia,23,UAV,CPAC,NAIA,10,,1,.909,2.31,2.59,14,12,,4,,0,93.2,69,27,24,0,19,,94,,,,,0.940,6.6,0.0,1.8,9.0,4.95
Drew Gillespie,24,SEU,TSC,NAIA,10,,0,1.000,3.78,5.11,17,17,,2,,0,88.0,88,50,37,7,26,,113,,,,,1.295,9.0,0.7,2.7,11.6,4.35
Jack Gonzales,23,PLN,PWC,NCAA,10,,2,.833,3.48,3.67,17,17,,4,1,0,95.2,95,39,37,11,21,0,107,4,1,3,402,1.213,8.9,1.0,2.0,10.1,5.10
Robert Gonzalez,23,TWU,APAC,NAIA,10,,3,.769,3.28,4.31,16,16,,1,,0,96.0,88,46,35,13,20,,93,,,,,1.125,8.3,1.2,1.9,8.7,4.65
Ty Good,20,COC,CAA,NCAA,10,,5,.667,3.61,4.48,17,15,,0,0,0,82.1,58,41,33,6,38,0,88,14,1,7,347,1.166,6.3,0.7,4.2,9.6,2.32
Justin Graves,22,VAN,GSAC,NAIA,10,,3,.769,3.28,4.81,15,13,,2,,0,82.1,64,44,30,5,32,,108,,,,,1.166,7.0,0.5,3.5,11.8,3.38
Drue Hackenberg,20,VTH,ACC,NCAA,10,,2,.833,3.30,4.08,17,16,,0,0,0,92.2,95,42,34,7,19,1,87,9,0,8,398,1.230,9.2,0.7,1.8,8.4,4.58
Harrison Haley,--,DSU,GSC,NCAA,10,,2,.833,4.24,4.33,15,15,,5,1,0,97.2,102,47,46,13,16,0,68,10,0,5,409,1.208,9.4,1.2,1.5,6.3,4.25
McLain Harris,23,YHC,PBC,NCAA,10,,4,.714,2.37,3.10,29,7,,1,1,7,98.2,86,34,26,10,8,1,72,6,0,4,394,0.953,7.8,0.9,0.7,6.6,9.00
Sean Holt,--,LAV,SCIA,NCAA,10,,3,.769,3.39,4.45,14,13,,1,0,0,85.0,89,42,32,9,19,0,51,10,0,2,369,1.271,9.4,1.0,2.0,5.4,2.68
Colton Joyner,--,CSU,PBC,NCAA,10,,1,.909,4.91,5.52,15,15,,1,0,0,73.1,101,45,40,9,17,0,59,2,0,6,331,1.609,12.4,1.1,2.1,7.2,3.47
Ben Kowalski,23,WBU,SLIA,NCAA,10,,2,.833,3.15,4.29,27,1,,0,0,2,71.1,67,34,25,2,24,3,72,2,0,11,297,1.276,8.5,0.3,3.0,9.1,3.00
Owen Krizan,--,HOP,MICA,NCAA,10,,6,.625,5.24,6.41,22,20,,2,0,0,92.2,110,66,54,12,26,0,66,6,0,18,420,1.468,10.7,1.2,2.5,6.4,2.54
Owen Margolis,--,ARC,FREC,NCAA,10,,0,1.000,2.17,2.90,25,0,,0,0,9,49.2,47,16,12,2,12,2,40,5,0,2,209,1.188,8.5,0.4,2.2,7.2,3.33
Brycen Mautz,20,SDO,WCC,NCAA,10,,2,.833,3.87,3.97,16,15,,1,1,0,90.2,90,40,39,15,22,0,129,8,0,2,381,1.235,8.9,1.5,2.2,12.8,5.86
Austin Mitchell,21,WGT,SAC,NCAA,10,,1,.909,4.62,5.25,13,13,,0,0,0,72.0,75,42,37,5,17,0,57,3,0,0,308,1.278,9.4,0.6,2.1,7.1,3.35
Westin Muir,23,WWH,WIAC,NCAA,10,,2,.833,3.25,4.77,14,14,,0,0,0,83.0,77,44,30,6,30,0,95,2,0,1,363,1.289,8.3,0.7,3.3,10.3,3.17
Mitchell Mussler,--,ERA,CPAC,NAIA,10,,4,.714,4.37,5.40,15,15,,6,,0,105.0,111,63,51,5,30,,75,,,,,1.343,9.5,0.4,2.6,6.4,2.50
Garrett Navarra,22,CMU,MAC,NCAA,10,,3,.769,5.15,5.60,18,11,,2,1,1,80.1,96,50,46,9,27,0,85,3,1,9,365,1.531,10.8,1.0,3.0,9.5,3.15
Eric Oseguera,--,WMT,GSAC,NAIA,10,,2,.833,2.59,3.30,14,13,,1,,0,62.2,54,23,18,3,17,,38,,,,,1.133,7.8,0.4,2.4,5.5,2.24
Austin Parsley,24,NCG,SoCo,NCAA,10,,5,.667,4.01,4.17,21,18,,3,1,1,114.1,125,53,51,10,16,3,95,7,0,2,478,1.233,9.8,0.8,1.3,7.5,5.94
Jonathan Pintaro,24,SHC,GSC,NCAA,10,,3,.769,3.47,3.84,20,14,,7,1,2,96.0,70,41,37,6,40,0,136,9,0,2,405,1.146,6.6,0.6,3.8,12.8,3.40
McGrane Pledger,--,BVU,NSAA,NAIA,10,,4,.714,4.05,4.15,18,13,,3,,3,86.2,71,40,39,8,34,,78,,,,,1.212,7.4,0.8,3.5,8.1,2.29
Timothy Pomaville,22,CMI,WHAC,NAIA,10,,0,1.000,3.36,3.36,16,2,,0,,0,72.1,69,27,27,6,32,,68,,,,,1.396,8.6,0.7,4.0,8.5,2.13
Breonn Pooler,25,ASU,SWAC,NCAA,10,,3,.769,3.32,3.73,17,15,,1,0,0,89.1,79,37,33,4,44,0,88,5,0,3,392,1.377,8.0,0.4,4.4,8.9,2.00
Jake Rogers,--,ASU,LSC,NCAA,10,,3,.769,6.45,6.81,19,12,,1,0,0,75.1,96,57,54,9,16,1,51,3,0,8,330,1.487,11.5,1.1,1.9,6.1,3.19
Paul Skenes,20,AFA,MWC,NCAA,10,,3,.769,2.73,3.15,15,15,,0,0,0,85.2,70,30,26,4,30,1,96,5,1,5,355,1.167,7.4,0.4,3.2,10.1,3.20
Ethan Soderna,--,UCH,MEC,NCAA,10,,1,.909,3.72,4.04,17,13,,4,2,0,84.2,74,38,35,8,32,2,93,6,0,4,356,1.252,7.9,0.9,3.4,9.9,2.91
Tanner Sparks,24,OCU,SOAC,NAIA,10,,1,.909,3.42,3.69,13,13,,1,,0,68.1,57,28,26,5,17,,78,,,,,1.083,7.5,0.7,2.2,10.3,4.59
AJ Stinson,22,WCC,SSAC,NAIA,10,,1,.909,3.09,4.33,17,13,,4,,2,87.1,53,42,30,4,67,,133,,,,,1.374,5.5,0.4,6.9,13.7,1.99
Zach Thor,--,CVC,MICA,NCAA,10,,6,.625,4.86,7.38,22,18,,0,0,0,100.0,118,82,54,2,34,0,52,16,0,10,462,1.520,10.6,0.2,3.1,4.7,1.53
Drew Thorpe,21,CPS,BigW,NCAA,10,,1,.909,2.32,2.67,15,15,,1,1,0,104.2,65,31,27,5,25,0,149,2,0,5,399,0.860,5.6,0.4,2.1,12.8,5.96
Zach Trevino,--,MAN,HAAC,NAIA,10,,4,.714,4.18,4.85,18,16,,7,,0,94.2,102,51,44,11,33,,108,,,,,1.426,9.7,1.0,3.1,10.3,3.27
Ethan Underwood,--,ONU,CCAC,NAIA,10,,2,.833,2.46,3.11,14,13,,6,,0,84.0,61,29,23,7,15,,63,,,,,0.905,6.5,0.8,1.6,6.8,4.20
Michael Vallone,--,DPW,NCAC,NCAA,10,,1,.909,2.22,2.87,12,11,,2,1,0,69.0,46,22,17,2,17,0,91,11,0,4,275,0.913,6.0,0.3,2.2,11.9,5.35
