Name,Age,Tm,Lg,Lev,BA,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Drake Sykes,21,KNX,MDWC,NCAA,.487,,33,146,117,41,57,12,3,8,29,12,3,25,12,.583,.846,1.429,99,,2,2,0,2
Taylor Kohlwey,21,WLC,WIAC,NCAA,.485,,49,234,198,76,96,22,9,9,57,11,1,30,14,.549,.823,1.373,163,,2,1,3,3
Hayden Tsutsui,--,CLT,MNIC,NCAA,.475,,34,148,122,36,58,13,3,7,26,5,3,20,18,.561,.803,1.364,98,,5,0,1,11
Kyle Bonicki,20,CLK,NEWM,NCAA,.466,,39,174,146,46,68,9,5,0,20,21,4,26,13,.549,.596,1.145,87,,1,1,0,1
Justin Cassinelli,22,SQH,LANC,NCAA,.465,,48,223,185,60,86,16,2,12,50,15,4,22,23,.532,.768,1.299,142,,10,1,5,1
Patrick O'Donnell,22,ASD,NSUN,NCAA,.463,,53,245,218,61,101,23,4,11,63,10,3,23,16,.516,.757,1.273,165,,2,1,1,0
Luke Ortel,22,HIL,GLIC,NCAA,.463,,56,269,242,75,112,25,8,11,48,28,6,12,14,.506,.769,1.274,186,,12,0,3,3
Jim Shomberg,--,PSA,AMCC,NCAA,.463,,36,146,121,33,56,10,4,2,24,5,0,15,17,.527,.661,1.189,80,,6,0,4,2
Justin Taylor,--,LBC,NEAC,NCAA,.461,,36,160,141,47,65,13,1,17,56,5,0,15,12,.506,.929,1.435,131,,1,0,3,2
Jack Schmidt,21,NSU,NSUN,NCAA,.460,,46,204,176,52,81,18,1,5,44,5,0,20,15,.520,.659,1.179,116,,5,0,3,1
Justin Anderson,--,WLC,WIAC,NCAA,.457,,49,218,197,53,90,20,2,12,83,3,1,14,25,.482,.761,1.243,150,,1,0,6,0
Troy Sieber,21,SLE,SSC,NCAA,.457,,46,217,173,68,79,12,6,16,56,9,1,31,26,.553,.873,1.426,151,,10,0,3,2
Judd Davis,--,SCS,NSUN,NCAA,.456,,50,178,147,46,67,3,5,4,42,1,4,28,13,.545,.626,1.171,92,,1,2,0,0
Jordan Godman,22,CSP,RMAC,NCAA,.454,,47,213,194,63,88,11,7,7,42,29,5,11,27,.495,.691,1.186,134,,5,3,0,2
Chris Miller,--,CLK,LIBL,NCAA,.449,,38,165,138,40,62,15,1,4,40,6,0,19,8,.515,.659,1.175,91,,4,0,4,1
Ryan Konkle,--,HOP,MICA,NCAA,.447,,44,186,152,34,68,17,1,7,59,3,0,28,18,.543,.711,1.254,108,,5,0,1,4
Caleb Lang,--,CAI,CSAC,NCAA,.446,,35,144,130,28,58,11,5,3,49,7,1,7,10,.465,.677,1.142,88,,2,0,5,3
Zack Leone,21,SQH,LANC,NCAA,.446,,46,206,177,46,79,20,1,8,54,5,0,17,12,.498,.706,1.204,125,,6,1,5,1
Matt Meyers,--,PSA,NEAC,NCAA,.446,,35,142,121,32,54,20,2,0,30,5,0,17,14,.514,.645,1.159,78,,2,0,2,1
Shane Billings,21,WGT,SAC,NCAA,.444,,52,248,216,74,96,16,7,4,36,30,2,25,15,.502,.639,1.141,138,,2,3,2,1
Cain Brady,--,ILC,MDWC,NCAA,.444,,36,158,142,40,63,15,1,7,47,2,1,11,25,.481,.711,1.192,101,,2,0,3,2
Ryan Snyder,23,QUI,GLVC,NCAA,.444,,57,256,207,72,92,19,2,23,88,10,5,34,31,.527,.889,1.416,184,,9,0,6,5
Joe Killian,--,ALG,NCAC,NCAA,.443,,34,157,140,43,62,16,2,6,42,7,3,13,7,.490,.714,1.205,100,,2,0,2,0
Jimmy Brown,--,MIL,SIAC,NCAA,.442,,39,155,120,36,53,5,2,0,43,7,2,20,18,.547,.517,1.063,62,,9,5,1,0
Nick Vitale,23,STI,SIAC,NCAA,.442,,49,218,199,52,88,16,3,5,40,11,3,17,24,.486,.628,1.114,125,,1,0,1,1
Alex Wojciechowski,22,UMD,NSUN,NCAA,.442,,55,255,224,86,99,14,3,33,101,12,4,26,25,.506,.973,1.479,218,,4,0,1,9
Kevin Santa,21,TPA,SSC,NCAA,.441,,26,119,102,29,45,10,3,2,27,3,3,13,6,.504,.657,1.161,67,,2,0,2,0
Kyle Comer,22,UMD,NSUN,NCAA,.440,,55,251,216,72,95,20,4,13,71,6,4,29,27,.514,.750,1.264,162,,5,0,1,0
Austin Edgette,20,BLO,PSAC,NCAA,.440,,45,186,159,50,70,14,0,2,42,13,4,17,24,.503,.566,1.069,90,,4,5,1,0
Nate Cardy,20,GAN,PSAC,NCAA,.437,,43,158,142,31,62,14,1,4,53,0,1,8,17,.452,.634,1.086,90,,1,1,6,0
Tyler Banovich,--,SNC,MDWC,NCAA,.436,,37,164,133,37,58,9,2,1,41,5,1,22,22,.521,.556,1.078,74,,5,1,3,1
Alex Venditti,22,WPI,NEWM,NCAA,.436,,40,181,140,46,61,12,0,16,62,3,1,28,16,.536,.864,1.400,121,,8,0,5,5
Willie Doll,--,SMM,MNIC,NCAA,.435,,43,196,161,49,70,10,3,4,29,22,3,23,9,.523,.609,1.132,98,,8,3,1,2
Ryan Scott,22,ALR,SBC,NCAA,.435,,54,257,216,56,94,20,2,12,66,7,5,27,33,.516,.713,1.229,154,,10,3,1,5
Tyler Bugner,21,NMU,HLC,NCAA,.434,,45,212,175,49,76,13,3,4,37,20,1,28,14,.521,.611,1.133,107,,6,1,2,0
Tyler Nelson,--,BSU,NSUN,NCAA,.434,,49,223,205,45,89,11,6,8,45,7,4,13,12,.475,.663,1.139,136,,4,0,1,0
Aaron Takacs,19,CAI,CSAC,NCAA,.434,,35,143,113,27,49,12,2,0,26,4,1,25,15,.538,.575,1.114,65,,3,0,2,0
Ryan Zahornasky,--,NWB,NECC,NCAA,.434,,36,156,129,30,56,14,2,5,38,2,1,22,6,.516,.690,1.206,89,,2,1,2,2
Josh Covey,--,UTD,ASWC,NCAA,.433,,38,151,120,38,52,7,0,2,22,20,4,16,26,.511,.542,1.052,65,,4,10,1,0
Marco Baratta,--,WES,NESC,NCAA,.431,,35,157,130,34,56,12,3,3,40,3,1,24,20,.522,.638,1.161,83,,2,0,1,2
Ryan Whitt,22,KTN,CCar,NCAA,.430,,45,201,172,46,74,11,3,9,45,7,4,24,37,.507,.686,1.194,118,,4,0,1,1
Jared Wiesen,--,GAN,PSAC,NCAA,.430,,48,199,165,60,71,10,2,3,29,29,4,27,14,.520,.570,1.090,94,,5,1,1,0
Andrew Beck,--,UOZ,ASWC,NCAA,.429,,28,120,112,17,48,5,1,2,16,3,1,6,7,.454,.545,.998,61,,0,1,1,0
Justin Langdale,--,MIL,SIAC,NCAA,.429,,48,208,163,61,70,10,0,1,39,6,2,31,19,.531,.509,1.041,83,,9,1,4,0
Tyler Walters,20,SRU,PSAC,NCAA,.429,,45,176,161,40,69,14,1,12,44,1,2,12,16,.466,.752,1.217,121,,1,0,2,5
Austin Colvard,--,CSS,UMAC,NCAA,.428,,43,202,173,49,74,10,3,0,32,21,6,20,13,.485,.520,1.005,90,,1,6,2,0
Austin Filiere,20,MIT,NEWM,NCAA,.428,,37,185,145,53,62,20,0,13,55,14,1,30,25,.546,.834,1.380,121,,9,0,1,4
Jacob Picht,--,HMU,MNIC,NCAA,.428,,42,191,152,51,65,18,2,2,35,1,2,21,17,.539,.612,1.151,93,,17,0,1,0
Sam Stauble,21,USM,LEC,NCAA,.428,,41,191,159,35,68,10,0,0,41,15,3,22,21,.487,.491,.977,78,,3,0,7,0
Dominick Bregar,22,CSP,RMAC,NCAA,.427,,47,207,185,36,79,24,3,5,45,3,2,19,28,.473,.670,1.144,124,,0,0,3,1
Laz Rivera,21,TPA,SSC,NCAA,.427,,50,241,213,59,91,22,1,6,47,9,2,17,26,.477,.624,1.102,133,,7,0,4,1
Andrew Waters,--,TTX,SCAC,NCAA,.427,,44,172,157,38,67,17,5,8,47,6,6,4,26,.428,.752,1.179,118,,0,6,5,0
Marty Windisch,21,MCD,CENT,NCAA,.427,,41,191,157,54,67,9,5,4,47,8,3,25,6,.521,.624,1.145,98,,7,1,1,2
Graham Fisher,--,GRN,MDWC,NCAA,.426,,37,150,122,34,52,10,2,10,41,6,2,17,18,.510,.787,1.297,96,,7,1,3,1
Jamie Lackner,21,WOO,NCAC,NCAA,.426,,49,228,169,49,72,11,0,7,53,5,0,43,12,.557,.615,1.172,104,,12,0,4,4
Travis Lodge,--,RMC,ODAC,NCAA,.426,,40,188,148,41,63,13,3,13,51,5,2,30,25,.535,.818,1.352,121,,7,1,2,3
Ian Mikowski,21,ADR,MICA,NCAA,.426,,42,196,155,52,66,9,3,1,33,26,4,35,15,.526,.542,1.068,84,,1,2,3,0
Liam O'Connor,22,BIS,UAA,NCAA,.426,,37,167,148,36,63,8,0,0,18,5,3,17,9,.485,.480,.965,71,,0,2,0,0
Luke Raley,21,LEC,GLIC,NCAA,.426,,43,176,141,47,60,10,2,12,34,13,2,26,10,.534,.780,1.314,110,,8,0,1,6
Joseph Zimmer,--,WHT,NRWC,NCAA,.426,,37,175,141,45,60,17,0,6,30,5,0,26,19,.529,.674,1.203,95,,5,3,0,3
Nick Attardi,--,FSC,SKYC,NCAA,.425,,35,146,120,30,51,2,3,0,15,14,8,22,7,.514,.492,1.006,59,,1,2,1,2
Caleb Lopes,20,UWG,GSC,NCAA,.425,,58,266,207,60,88,17,0,9,56,9,1,30,10,.519,.638,1.157,132,,19,2,8,2
Michael Schimpf,--,CEN,SCAC,NCAA,.425,,39,193,153,45,65,8,3,4,32,11,5,25,17,.526,.595,1.121,91,,11,1,3,2
