Name,Age,Tm,Lg,Lev,BA,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Trevor Mears,--,WSC,CAC,NCAA,.500,,34,169,136,56,68,14,1,7,54,41,7,24,9,.568,.772,1.340,105,,4,0,5,4
Wyatt Ulrich,20,SJM,MNIC,NCAA,.500,,29,130,122,36,61,6,1,0,21,10,2,7,9,.523,.566,1.089,69,,0,0,1,0
Garet Griffin,21,MIT,NECC,NCAA,.496,,36,154,125,45,62,10,2,6,41,8,2,5,12,.556,.752,1.308,94,,18,1,5,1
Andrew Warner,21,CCM,AMWC,NAIA,.478,,51,235,180,52,86,16,2,17,69,11,1,43,18,.583,.872,1.455,157,1,8,0,4,
Trevor Achenbach,23,OWU,KCAC,NAIA,.476,,57,267,229,87,109,10,6,21,86,7,3,13,15,.532,.847,1.379,194,2,19,2,4,
Ryan Bonafede,--,HIL,AMCC,NCAA,.476,,32,131,103,28,49,16,2,1,26,2,1,14,5,.550,.699,1.249,72,,9,0,5,1
Ernesto Lizardi,--,WBU,SOAC,NAIA,.474,,47,178,154,12,73,10,0,4,50,0,0,21,7,.539,.617,1.156,95,2,2,0,1,
Ian Mikowski,22,ADR,MICA,NCAA,.472,,47,225,176,68,83,6,4,0,13,42,4,45,19,.580,.551,1.131,97,,2,1,1,1
Joe Salmen,--,WMP,PRES,NCAA,.471,,33,127,102,32,48,5,1,0,10,8,4,21,15,.556,.539,1.096,55,,0,3,1,1
Vince Rebar,--,MRW,CSAC,NCAA,.464,,36,153,138,42,64,8,6,5,39,25,3,6,11,.497,.717,1.214,99,,6,0,3,0
Will Price,--,OWU,KCAC,NAIA,.460,,63,266,226,77,104,16,1,28,101,7,4,15,29,.506,.912,1.417,206,5,15,1,9,
Glen McClain,21,IIT,WHAC,NAIA,.457,,58,269,223,64,102,17,5,9,71,4,2,28,19,.528,.700,1.228,156,8,10,4,4,
Matt Bandor,--,IIT,WHAC,NAIA,.453,,50,206,172,46,78,18,0,13,53,1,1,20,14,.522,.785,1.307,135,8,8,3,3,
Justin Childers,21,ODU,GLIC,NCAA,.451,,48,211,175,62,79,17,5,14,60,18,3,31,28,.526,.846,1.372,148,,1,0,4,0
Billy Goodall,--,MUC,OHAC,NCAA,.451,,41,185,153,40,69,14,2,3,34,25,8,20,14,.525,.627,1.152,96,,6,4,2,1
Brian McLaughlin,--,MTM,SKYC,NCAA,.450,,36,158,140,43,63,14,1,9,51,3,0,12,13,.494,.757,1.251,106,,3,0,3,0
David Vinsky,18,NWM,GLIC,NCAA,.449,,59,271,243,62,109,27,4,4,60,2,5,19,28,.483,.642,1.125,156,,3,0,6,2
Dylan Harris,22,SLE,SSC,NCAA,.448,,49,239,221,49,99,20,0,4,33,15,4,9,19,.472,.593,1.065,131,,2,6,1,1
Joe Hall,--,EMU,ODAC,NCAA,.447,,39,184,159,40,71,8,4,3,32,25,3,13,2,.500,.604,1.104,96,,7,2,3,0
Jordan Harris,22,TAB,KCAC,NAIA,.447,,59,251,226,62,101,22,0,15,77,12,7,9,21,.478,.743,1.221,168,1,10,0,6,
Jonathan Iaione,--,NYU,UAA,NCAA,.447,,36,160,132,35,59,15,2,3,44,14,4,12,13,.478,.659,1.137,87,,5,1,10,0
Rodney Tennie,22,GGC,ANI,NAIA,.445,,52,182,146,51,65,5,0,0,22,23,14,20,29,.534,.479,1.014,70,0,9,6,1,
Christian Camacho,--,BUM,CPAC,NAIA,.443,,49,224,185,51,82,18,5,5,57,2,3,27,16,.531,.676,1.207,125,6,10,0,2,
Kyle Fackler,--,EZC,LANC,NCAA,.443,,45,211,174,45,77,14,3,1,28,8,2,28,25,.529,.575,1.103,100,,6,1,2,2
Zac Edwards,--,LVC,COMC,NCAA,.442,,27,125,104,20,46,7,3,0,26,3,2,6,4,.508,.567,1.076,59,,9,5,1,2
Keston Hiura,20,UCI,BigW,NCAA,.442,,56,261,199,48,88,24,1,8,42,9,6,50,38,.567,.693,1.261,138,,10,0,2,12
Chris Acosta-Tapia,22,OWU,KCAC,NAIA,.441,,63,279,238,89,105,27,2,24,85,12,4,28,41,.516,.874,1.390,208,1,11,0,2,
Alex DeLaCruz,--,ENM,LSC,NCAA,.441,,48,208,177,65,78,16,2,7,41,20,4,25,14,.522,.672,1.194,119,,5,1,0,0
Cal Gentry,19,GCS,PBC,NCAA,.441,,49,233,202,59,89,11,2,1,42,7,3,20,22,.487,.530,1.017,107,,3,3,5,0
Tanner Nishioka,22,PPC,SCIA,NCAA,.441,,39,190,152,48,67,12,1,18,53,8,5,27,27,.542,.888,1.430,135,,9,0,2,3
Drake Sykes,22,KNX,MDWC,NCAA,.441,,34,159,127,31,56,14,1,7,43,17,5,23,13,.541,.732,1.273,93,,7,0,2,6
Justin Morhardt,23,BYN,APAC,NAIA,.439,,58,247,196,17,86,20,0,12,51,0,0,47,28,.551,.724,1.275,142,5,3,0,1,
Derik Bontempo,--,BVU,NSAA,NAIA,.436,,62,261,218,69,95,21,3,19,72,4,3,24,41,.498,.821,1.319,179,7,11,0,8,
Dakota Skinner,--,KEU,NEAC,NCAA,.436,,34,148,133,26,58,6,0,0,21,7,2,14,6,.486,.481,.968,64,,0,0,1,0
Eric Hamilton,--,OSW,SUNY,NCAA,.435,,43,194,168,42,73,21,0,5,39,16,4,17,8,.490,.649,1.139,109,,5,0,4,4
Micah Kaaukai,--,CMU,LSC,NCAA,.435,,44,180,138,42,60,7,2,2,30,15,5,27,17,.557,.558,1.115,77,,11,4,0,0
Christian Perez,--,USA,SOAC,NAIA,.435,,55,245,207,74,90,20,6,10,61,17,4,28,31,.504,.734,1.238,152,3,4,3,3,
Ian Velez,24,LAR,AMCC,NCAA,.435,,44,187,168,41,73,14,2,0,40,7,0,11,3,.476,.542,1.017,91,,4,2,2,1
Trent Saharek,--,BLC,UMAC,NCAA,.434,,33,123,113,14,49,13,0,1,29,2,1,8,17,.475,.575,1.051,65,,1,1,0,0
Zack Shannon,21,DSU,GSC,NCAA,.434,,57,257,219,63,95,12,1,19,88,0,0,25,24,.498,.758,1.256,166,,8,0,5,1
Tyler Curtis,23,LYN,SSC,NCAA,.433,,47,223,187,59,81,15,1,13,47,7,1,31,32,.518,.733,1.251,137,,3,1,1,0
Alfred Francis,--,BRC,SAA,NCAA,.433,,43,179,150,38,65,8,5,3,33,10,2,16,12,.491,.613,1.105,92,,3,8,2,0
Ben Havel,21,ELM,CCIW,NCAA,.433,,38,182,157,38,68,13,0,10,48,1,0,21,11,.500,.707,1.207,111,,2,0,2,2
Nate Sides,20,ALV,COMC,NCAA,.433,,47,212,194,54,84,14,6,1,41,13,1,11,16,.459,.582,1.041,113,,0,5,2,2
Bryan Chapin,--,CCS,RMAC,NCAA,.432,,29,121,111,24,48,10,0,3,23,2,2,9,18,.475,.604,1.079,67,,0,1,0,1
John Condon,--,SJB,SKYC,NCAA,.432,,33,139,125,21,54,12,2,1,34,1,0,8,7,.464,.584,1.048,73,,2,1,3,0
Paul Garcia,--,HTU,RRAC,NAIA,.432,,35,148,125,37,54,12,0,5,40,4,0,12,10,.503,.648,1.151,81,1,8,1,2,
Jacob Jones,--,TAB,KCAC,NAIA,.432,,61,276,234,82,101,18,1,13,58,29,3,31,38,.502,.684,1.186,160,2,5,3,3,
Tyler Cook,--,CPU,SCIA,NCAA,.431,,40,187,167,42,72,14,1,8,39,3,0,12,17,.460,.671,1.131,112,,2,0,6,0
Jacob Cuch,--,DSU,NSAA,NAIA,.431,,49,198,174,30,75,18,1,7,44,1,2,15,27,.495,.667,1.162,116,4,8,0,1,
Kyle Wenger,22,DVC,FREC,NCAA,.431,,33,134,109,37,47,10,4,2,21,14,2,18,9,.515,.651,1.166,71,,4,0,3,2
Ryan Tropeano,--,WPI,NEWM,NCAA,.430,,37,181,158,56,68,9,4,3,20,30,2,20,26,.492,.595,1.087,94,,0,2,1,0
Rob DeAngelis,22,RAM,NJAC,NCAA,.429,,42,194,170,45,73,11,4,1,29,6,3,18,15,.495,.559,1.054,95,,5,0,1,1
Augie Isaacson,21,FRU,KCAC,NAIA,.429,,55,244,205,65,88,23,4,1,27,31,7,24,21,.510,.595,1.106,122,1,10,5,0,
Chad Frazier,--,CWV,MEC,NCAA,.428,,51,234,194,73,83,8,6,5,45,15,1,28,41,.511,.608,1.119,118,,7,3,2,0
Ian Kobernick,--,KZC,MICA,NCAA,.428,,45,202,173,48,74,17,3,7,52,9,4,25,24,.502,.682,1.185,118,,2,1,1,1
Josh Newell,--,REG,RMAC,NCAA,.428,,51,224,194,51,83,20,0,12,52,7,2,17,20,.495,.716,1.212,139,,9,4,0,2
Alex Stephens,24,SEU,TSC,NAIA,.427,,31,128,110,35,47,11,1,3,30,15,3,12,9,.472,.627,1.100,69,0,1,1,4,
Timmy Gorton,21,EAS,FREC,NCAA,.426,,35,154,136,40,58,15,0,3,44,6,1,13,10,.474,.603,1.077,82,,2,0,3,3
Taylor Grzelakowski,23,MDU,WHAC,NAIA,.426,,49,223,176,59,75,16,3,12,60,20,2,39,22,.538,.756,1.294,133,6,5,2,1,
Dustyn Macaluso,22,CMU,HAAC,NAIA,.426,,59,249,216,71,92,17,3,11,60,22,1,13,32,.469,.685,1.154,148,4,7,10,3,
Tommy Bell,--,CBU,PWC,NCAA,.425,,32,135,120,31,51,12,0,6,26,2,3,9,12,.481,.675,1.156,81,,5,0,1,0
Eli Boggess,21,MSU,OVC,NCAA,.425,,55,236,207,54,88,11,2,7,40,3,3,19,14,.487,.599,1.086,124,,8,0,2,0
Michael Wielansky,20,WOO,NCAC,NCAA,.425,,46,223,186,69,79,15,6,10,54,20,9,19,13,.509,.731,1.240,136,,15,1,2,0
Rainier Aguilar,--,RED,SCIA,NCAA,.424,,39,167,139,25,59,9,2,2,39,0,0,20,20,.500,.561,1.061,78,,4,1,3,0
Kevin Santa,22,TPA,SSC,NCAA,.423,,53,252,215,75,91,11,1,7,39,13,1,25,17,.502,.581,1.083,125,,10,1,1,1
Armando Valentin,--,BDC,SIAC,NCAA,.423,,40,180,156,48,66,10,5,4,57,12,5,16,14,.467,.628,1.095,98,,2,0,6,0
Kyle Hartenstein,20,MIT,NECC,NCAA,.422,,42,195,166,51,70,19,1,3,43,6,7,22,15,.485,.602,1.087,100,,2,1,4,0
Bligh Madris,21,MSU,RMAC,NCAA,.422,,62,270,218,55,92,14,4,17,67,14,4,45,30,.513,.757,1.270,165,,1,1,5,4
Bryan Thomas,--,CNW,NATH,NCAA,.422,,41,185,154,36,65,15,4,3,53,11,2,17,21,.497,.630,1.127,97,,9,2,3,2
Phillip Steering,21,HHL,PWC,NCAA,.421,,38,162,126,28,53,11,2,6,24,10,1,30,14,.537,.683,1.220,86,,4,0,2,7
Andrew Copas,--,MLG,APAC,NAIA,.420,,34,116,100,24,42,6,0,0,18,3,2,11,15,.469,.480,.949,48,1,0,3,2,
Ben Hill,--,ONU,CCAC,NAIA,.420,,51,190,162,19,68,19,3,2,44,1,4,18,21,.471,.611,1.082,99,2,3,1,6,
Matthew Jarecki,21,BDC,HAAC,NAIA,.420,,57,235,193,72,81,14,3,21,65,6,5,28,18,.515,.850,1.365,164,0,12,0,2,
Tanner Levine,22,WVT,RSC,NAIA,.420,,58,243,205,60,86,21,5,6,50,19,2,33,25,.498,.659,1.156,135,0,2,0,3,
JT Ross,--,UTI,EMP8,NCAA,.420,,36,149,138,42,58,20,1,1,31,9,2,11,10,.463,.601,1.065,83,,0,0,0,0
Nick Vento,--,WJC,PRES,NCAA,.420,,54,235,207,53,87,19,2,9,63,14,2,20,29,.460,.662,1.121,137,,1,0,7,0
Mike Warren,--,AAS,PBC,NCAA,.420,,45,242,205,59,86,10,1,1,28,23,2,30,15,.492,.493,.984,101,,2,2,3,0
Ryan Feeney,--,Big,MSAC,NCAA,.419,,31,128,105,19,44,7,3,2,24,6,1,14,12,.500,.600,1.100,63,,6,0,3,2
Nick Valori,--,MCD,CENT,NCAA,.419,,35,153,136,32,57,11,2,5,26,7,3,12,16,.484,.640,1.123,87,,5,0,0,0
Tanner Branneky,--,WMO,SLIA,NCAA,.418,,34,140,110,34,46,10,0,9,35,1,0,15,22,.525,.755,1.280,83,,12,1,2,2
Josh Covey,--,UTD,ASWC,NCAA,.418,,44,224,182,67,76,6,0,3,24,16,2,35,28,.516,.500,1.016,91,,3,3,1,0
Tyler Duex,--,CSS,UMAC,NCAA,.418,,41,182,153,48,64,17,4,7,42,1,0,21,22,.495,.719,1.213,110,,5,0,3,0
Michael Lowe,--,SCC,SOAC,NAIA,.418,,65,262,213,58,89,23,3,8,62,6,0,28,19,.492,.667,1.159,142,2,7,10,4,
Bryan VanDuser,--,CUC,NATH,NCAA,.418,,45,216,182,57,76,12,3,5,37,19,3,22,16,.502,.599,1.101,109,,10,1,1,0
Taylor Black,--,SJM,GNEC,NCAA,.417,,37,157,127,37,53,12,4,4,44,4,1,6,17,.486,.669,1.156,85,,12,11,1,0
Alex Kranick,--,GSW,PBC,NCAA,.417,,49,238,199,50,83,16,1,1,30,6,3,29,11,.492,.523,1.014,104,,4,2,4,0
Andrew McCoy,21,BDC,SIAC,NCAA,.417,,40,180,132,58,55,9,9,5,36,29,2,41,26,.550,.735,1.285,97,,3,0,4,1
Mike Miller,--,STA,CCAC,NAIA,.417,,34,139,127,29,53,10,2,6,31,9,5,8,15,.457,.669,1.126,85,2,2,1,1,
Alex Mumme,--,URS,CENT,NCAA,.417,,29,113,103,23,43,20,1,4,26,1,0,4,27,.440,.748,1.188,77,,1,4,1,1
Yanni Thanopoulos,21,AMH,NESC,NCAA,.417,,36,161,144,29,60,14,0,1,42,4,2,7,10,.465,.535,1.000,77,,7,2,1,0
Arsalaan Alvi,--,HSC,AMWC,NAIA,.416,,49,211,173,50,72,13,0,0,24,20,4,32,15,.505,.491,.996,85,0,1,3,2,
Christian Pack,19,KCP,FREC,NCAA,.416,,33,126,113,29,47,8,0,0,19,5,4,9,3,.472,.487,.959,55,,3,1,0,0
JP Batts,--,HOP,MICA,NCAA,.415,,42,161,142,33,59,12,3,2,28,7,4,14,11,.481,.585,1.066,83,,4,1,0,0
Stefano Belmonte,--,TCC,CCAC,NAIA,.415,,49,211,188,43,78,25,0,10,66,3,0,10,12,.441,.707,1.148,133,2,5,0,8,
Luis Diaz,--,SEU,TSC,NAIA,.415,,61,287,241,81,100,21,12,9,57,34,6,32,37,.497,.714,1.210,172,3,10,1,3,
Brett Hileman,--,UPJ,PSAC,NCAA,.415,,43,168,135,33,56,13,0,5,48,12,1,15,25,.512,.622,1.134,84,,15,0,3,0
Hunter Merrill,--,MHC,SAC,NCAA,.415,,42,181,147,49,61,5,4,1,21,28,4,28,25,.508,.524,1.032,77,,2,2,2,0
Matt Noel,19,MLC,GMAC,NCAA,.415,,49,193,159,26,66,13,0,1,35,1,2,24,28,.500,.516,1.016,82,,6,1,3,1
Travis Regalado,20,LKW,NATH,NCAA,.415,,37,156,135,25,56,9,0,6,31,1,1,7,12,.468,.615,1.083,83,,10,0,4,2
