Name,Age,Tm,Lg,Lev,W,Aff,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Jake Thompson,22,ORS,P12,NCAA,14,,1,.933,1.96,2.03,20,19,,1,1,0,128.2,85,29,28,5,40,0,119,5,1,3,501,0.972,5.9,0.3,2.8,8.3,2.98
Kyle Chavez,25,TAL,ANI,NAIA,13,,5,.722,2.58,3.41,21,17,,6,1,0,118.2,99,45,34,2,15,,113,5,2,1,482,0.961,7.5,0.2,1.1,8.6,7.53
Torrey Escamilla,--,MLC,GPAC,NAIA,13,,0,1.000,3.11,4.18,16,16,,3,1,0,92.2,100,43,32,3,20,,78,8,2,7,398,1.295,9.7,0.3,1.9,7.6,3.90
Kyle Leahy,20,MSU,RMAC,NCAA,13,,0,1.000,1.41,1.82,17,15,,4,2,1,108.2,85,22,17,3,13,0,96,7,0,3,427,0.902,7.0,0.2,1.1,8.0,7.38
Damon Proctor,22,UNO,WHAC,NAIA,13,,0,1.000,1.50,2.13,18,16,,6,3,0,114.0,76,27,19,3,27,,129,10,0,9,448,0.904,6.0,0.2,2.1,10.2,4.78
Grant Wolfram,20,DAV,WHAC,NAIA,13,,2,.867,3.28,3.57,17,17,,3,1,0,93.1,73,37,34,6,44,,100,6,1,10,400,1.254,7.0,0.6,4.2,9.6,2.27
Jerome Byndloss,--,JND,NSAA,NAIA,12,,2,.857,3.31,4.20,17,16,,1,1,0,100.2,77,47,37,4,26,,98,9,2,6,412,1.023,6.9,0.4,2.3,8.8,3.77
Casey Costello,22,CSU,CCAA,NCAA,12,,0,1.000,2.49,3.29,16,16,,0,0,0,90.1,85,33,25,6,13,1,52,6,3,7,361,1.085,8.5,0.6,1.3,5.2,4.00
Izzy Fuentes,21,FAU,SSAC,NAIA,12,,0,1.000,2.98,3.08,17,15,,0,0,0,90.2,89,31,30,4,16,,98,12,2,6,374,1.158,8.8,0.4,1.6,9.7,6.13
Brian Howard,22,TCU,B12,NCAA,12,,3,.800,3.77,4.03,19,19,,1,1,0,105.0,86,47,44,6,35,1,113,10,1,6,443,1.152,7.4,0.5,3.0,9.7,3.23
Austin Hutchison,22,MOC,CCar,NCAA,12,,1,.923,1.82,2.30,15,14,,7,5,0,94.0,74,24,19,5,33,0,97,4,0,2,382,1.138,7.1,0.5,3.2,9.3,2.94
Tyler Jandron,22,NWM,GLIC,NCAA,12,,1,.923,2.27,3.46,15,14,,5,3,0,91.0,82,35,23,3,30,0,102,9,0,8,388,1.231,8.1,0.3,3.0,10.1,3.40
Jackson Kowar,20,UFL,SEC,NCAA,12,,1,.923,4.08,4.92,19,18,,0,0,1,108.0,116,59,49,7,44,0,84,13,3,10,481,1.481,9.7,0.6,3.7,7.0,1.91
Michael Lopez,--,CLK,HAAC,NAIA,12,,2,.857,3.97,4.84,16,16,,7,2,0,93.0,103,50,41,7,22,,64,1,0,2,409,1.344,10.0,0.7,2.1,6.2,2.91
Felix Minjarez,20,RED,SCIA,NCAA,12,,2,.857,2.30,2.97,16,13,,4,1,0,94.0,89,31,24,2,25,1,105,7,1,3,393,1.213,8.5,0.2,2.4,10.1,4.20
Tommy Parsons,21,ADR,MICA,NCAA,12,,1,.923,2.23,2.42,13,12,,9,3,0,93.0,92,25,23,1,7,0,101,2,1,2,371,1.065,8.9,0.1,0.7,9.8,14.43
Jared Poche,22,LSU,SEC,NCAA,12,,4,.750,3.17,4.04,20,19,,1,1,0,113.2,99,51,40,14,39,2,76,6,0,7,475,1.214,7.8,1.1,3.1,6.0,1.95
Jake Walsh,21,FSC,SSC,NCAA,12,,1,.923,2.80,3.70,16,16,,1,0,0,99.2,72,41,31,12,25,0,104,11,1,11,410,0.973,6.5,1.1,2.3,9.4,4.16
Cory Abbott,21,LMU,WCC,NCAA,11,,2,.846,1.74,2.47,15,15,,2,2,0,98.1,61,27,19,3,28,0,130,5,3,4,389,0.905,5.6,0.3,2.6,11.9,4.64
Miguel Ausua,20,ORU,SUMT,NCAA,11,,3,.786,1.65,2.14,16,15,,1,1,0,92.2,80,22,17,5,30,1,85,5,0,8,380,1.187,7.8,0.5,2.9,8.3,2.83
Joey Benitez,22,SCA,PBC,NCAA,11,,3,.786,2.63,2.94,21,16,,2,1,0,116.1,98,38,34,10,23,0,135,13,1,12,471,1.040,7.6,0.8,1.8,10.4,5.87
Anthony Burke,--,NCP,PBC,NCAA,11,,1,.917,3.49,3.67,15,15,,2,0,0,98.0,98,40,38,8,23,0,72,8,6,1,418,1.235,9.0,0.7,2.1,6.6,3.13
Chad Burrows,--,BYN,APAC,NAIA,11,,1,.917,3.36,4.11,23,8,,2,0,7,72.1,64,33,27,3,27,,70,5,0,5,310,1.258,8.0,0.4,3.4,8.7,2.59
Matthew Devillier,--,CEN,SCAC,NCAA,11,,1,.917,2.98,3.59,15,14,,3,2,0,87.2,96,35,29,6,21,0,59,5,5,4,368,1.335,9.9,0.6,2.2,6.1,2.81
Rich Edwards,23,EDW,ANI,NAIA,11,,3,.786,2.60,3.05,16,13,,4,0,1,100.1,71,34,29,4,8,,33,3,2,2,403,0.787,6.4,0.4,0.7,3.0,4.13
Ryan Gaines,22,BSO,SAA,NCAA,11,,0,1.000,2.93,3.46,16,15,,1,0,0,101.1,102,39,33,3,13,0,82,7,0,4,422,1.135,9.1,0.3,1.2,7.3,6.31
Riley Groves,--,WJC,PRES,NCAA,11,,3,.786,2.30,3.26,15,15,,4,1,0,94.0,78,34,24,1,21,1,63,6,0,3,388,1.053,7.5,0.1,2.0,6.0,3.00
Nate Harmon,23,SEU,TSC,NAIA,11,,2,.846,3.74,4.27,16,14,,1,0,0,84.1,80,40,35,2,22,,95,7,0,1,358,1.209,8.5,0.2,2.3,10.1,4.32
Luke Heimlich,21,ORS,P12,NCAA,11,,1,.917,0.76,0.99,16,16,,2,0,0,118.1,70,13,10,0,22,0,128,5,0,3,448,0.777,5.3,0.0,1.7,9.7,5.82
Sean Hjelle,20,UKY,SEC,NCAA,11,,4,.733,3.89,4.22,18,17,,1,1,0,108.2,99,51,47,11,33,2,102,12,0,0,461,1.215,8.2,0.9,2.7,8.4,3.09
Seth Holman,--,ESU,MIAA,NCAA,11,,3,.786,4.03,4.12,18,15,,1,1,0,98.1,104,45,44,11,22,1,81,10,1,3,420,1.281,9.5,1.0,2.0,7.4,3.68
Zach Johnson,--,OWU,KCAC,NAIA,11,,1,.917,3.97,4.49,17,16,,2,2,0,104.1,106,52,46,9,38,,89,5,2,10,436,1.380,9.1,0.8,3.3,7.7,2.34
Jimi Keating,--,SPU,SLIA,NCAA,11,,2,.846,1.62,1.62,14,14,,10,5,0,100.0,67,18,18,2,10,0,124,11,0,0,385,0.770,6.0,0.2,0.9,11.2,12.40
Kaleb Kirk,--,CEN,SCAC,NCAA,11,,3,.786,2.83,3.02,16,15,,2,0,1,95.1,85,32,30,1,28,0,90,6,1,5,398,1.185,8.0,0.1,2.6,8.5,3.21
Josh McClain,22,WCH,PSAC,NCAA,11,,2,.846,2.76,3.77,30,0,,0,0,8,62.0,56,26,19,0,26,1,58,8,1,6,275,1.323,8.1,0.0,3.8,8.4,2.23
Brendan McKay,21,ULV,ACC,NCAA,11,,3,.786,2.56,2.81,17,17,,0,0,0,109.0,77,34,31,5,35,0,146,1,1,10,436,1.028,6.4,0.4,2.9,12.1,4.17
Billy Oxford,21,APU,PWC,NCAA,11,,1,.917,2.64,2.94,13,13,,2,1,0,88.2,84,29,26,5,14,1,77,7,0,6,365,1.105,8.5,0.5,1.4,7.8,5.50
