Name,Age,Tm,Lg,Lev,W,Aff,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Mason Green,22,UCM,MIAA,NCAA,16,,0,1.000,2.32,2.67,18,18,,1,1,0,104.2,71,31,27,5,26,0,123,14,1,5,429,0.927,6.1,0.4,2.2,10.6,4.73
Nick Merkel,22,CMU,HAAC,NAIA,14,,0,1.000,2.14,2.33,16,15,,2,0,1,96.2,85,25,23,9,25,,125,7,0,4,405,1.138,7.9,0.8,2.3,11.6,5.00
Kumar Rocker,21,VDY,SEC,NCAA,14,,4,.778,2.73,3.17,20,20,,1,0,0,122.0,75,43,37,8,39,0,179,7,2,13,490,0.934,5.5,0.6,2.9,13.2,4.59
Mason Schwellenbach,22,CMU,HAAC,NAIA,14,,1,.933,2.26,2.87,15,15,,1,1,0,87.2,71,28,22,5,17,,113,6,0,6,355,1.004,7.3,0.5,1.7,11.6,6.65
Trent Baker,22,ASU,LSC,NCAA,13,,1,.929,2.11,2.78,17,17,,4,3,0,106.2,90,33,25,6,18,0,120,3,2,7,427,1.013,7.6,0.5,1.5,10.1,6.67
Antonio Frias,23,FAU,SSAC,NAIA,13,,0,1.000,2.22,2.51,16,14,,5,2,1,93.1,51,26,23,6,35,,138,11,2,6,371,0.921,4.9,0.6,3.4,13.3,3.94
Dom Hamel,22,DBU,MVC,NCAA,13,,2,.867,4.22,4.32,18,16,,0,0,1,91.2,68,44,43,16,34,1,136,5,2,11,377,1.113,6.7,1.6,3.3,13.4,4.00
Trevor DeLaite,24,LIB,ASun,NCAA,12,,1,.923,2.17,2.34,16,16,,5,3,0,107.2,84,28,26,7,20,0,88,12,0,3,426,0.966,7.0,0.6,1.7,7.4,4.40
Hunter Dollander,24,GGC,ANI,NAIA,12,,1,.923,3.09,3.40,15,15,,3,2,0,87.1,78,33,30,8,20,,99,8,0,6,369,1.122,8.0,0.8,2.1,10.2,4.95
Kobe Foster,23,TWU,APAC,NAIA,12,,0,1.000,1.83,2.04,15,14,,1,0,0,88.1,58,20,18,8,12,,106,2,0,1,329,0.792,5.9,0.8,1.2,10.8,8.83
Kevin Kopps,24,UOA,SEC,NCAA,12,,1,.923,0.90,0.90,33,1,,0,0,11,89.2,50,9,9,5,18,2,131,1,0,3,332,0.758,5.0,0.5,1.8,13.1,7.28
Matt Mulhearn,23,WBU,SLIA,NCAA,12,,1,.923,0.90,1.26,13,13,,6,2,0,100.0,62,14,10,2,10,1,137,4,0,2,371,0.720,5.6,0.2,0.9,12.3,13.70
Doug Nikhazy,21,UMS,SEC,NCAA,12,,2,.857,2.45,2.93,16,15,,1,1,0,92.0,62,30,25,11,31,0,142,6,0,3,372,1.011,6.1,1.1,3.0,13.9,4.58
Jhon Vargas,24,MAN,HAAC,NAIA,12,,3,.800,3.12,3.38,17,15,,10,3,0,104.0,81,39,36,8,36,,137,10,2,8,430,1.125,7.0,0.7,3.1,11.9,3.81
Colton Williams,25,USA,SOAC,NAIA,12,,1,.923,1.60,2.17,13,13,,6,2,0,78.2,61,19,14,2,16,,92,5,2,2,317,0.979,7.0,0.2,1.8,10.5,5.75
Pierce Banks,23,ADR,MICA,NCAA,11,,1,.917,2.38,2.59,15,13,,4,0,0,87.0,63,25,23,4,32,0,86,1,0,10,348,1.092,6.5,0.4,3.3,8.9,2.69
Rodney Boone,21,UCB,BigW,NCAA,11,,4,.733,2.31,3.05,16,16,,1,1,0,97.1,55,33,25,9,39,0,128,2,1,6,382,0.966,5.1,0.8,3.6,11.8,3.28
Christian Camacho,22,SEU,TSC,NAIA,11,,1,.917,3.24,4.09,18,15,,1,1,0,105.2,87,48,38,12,31,,109,15,0,9,443,1.117,7.4,1.0,2.6,9.3,3.52
Drew Clavenna,24,UNO,WHAC,NAIA,11,,4,.733,3.22,4.39,16,15,,3,0,0,92.1,88,45,33,5,21,,100,15,5,2,402,1.181,8.6,0.5,2.0,9.7,4.76
Chad Dallas,21,TEN,SEC,NCAA,11,,2,.846,4.19,4.54,17,17,,0,0,0,103.0,95,52,48,21,20,0,122,8,0,5,426,1.117,8.3,1.8,1.7,10.7,6.10
Robert Gonzalez,22,TWU,APAC,NAIA,11,,0,1.000,1.80,2.28,15,12,,1,0,1,75.0,58,19,15,2,14,,82,6,0,3,299,0.960,7.0,0.2,1.7,9.8,5.86
RJ Kuruts,22,SJF,EMP8,NCAA,11,,2,.846,3.33,4.64,13,13,,3,1,0,75.2,76,39,28,4,26,0,100,4,1,1,333,1.348,9.0,0.5,3.1,11.9,3.85
Luke Lamm,--,NCC,CCIW,NCAA,11,,0,1.000,2.16,2.67,14,13,,2,1,0,87.2,72,26,21,2,16,0,92,8,0,6,352,1.004,7.4,0.2,1.6,9.4,5.75
Jack Leiter,21,VDY,SEC,NCAA,11,,4,.733,2.13,2.45,18,18,,2,1,0,110.0,48,30,26,14,45,0,179,11,1,4,430,0.845,3.9,1.1,3.7,14.6,3.98
Ryan Loutos,22,WSL,UAA,NCAA,11,,1,.917,1.33,1.81,14,13,,4,0,1,94.2,66,19,14,2,12,1,116,5,0,4,359,0.824,6.3,0.2,1.1,11.0,9.67
Irving Martin,29,TWU,APAC,NAIA,11,,1,.917,2.02,2.14,15,14,,2,1,0,80.0,55,19,18,7,11,,79,7,0,4,309,0.825,6.2,0.8,1.2,8.9,7.18
Ryan Munoz,22,SEU,TSC,NAIA,11,,1,.917,3.00,3.68,21,5,,2,0,4,66.0,67,27,22,4,18,,75,4,2,5,283,1.288,9.1,0.5,2.5,10.2,4.17
Zach Parish,25,MSS,MIAA,NCAA,11,,1,.917,1.21,1.51,14,14,,0,0,0,89.1,50,15,12,5,25,0,136,10,0,6,348,0.840,5.0,0.5,2.5,13.7,5.44
Tristan Stevens,23,UTX,B12,NCAA,11,,3,.786,3.31,3.31,18,18,,0,0,0,111.1,105,41,41,5,23,1,77,7,1,3,457,1.150,8.5,0.4,1.9,6.2,3.35
Andrew Taylor,19,CMU,MAC,NCAA,11,,4,.733,1.81,2.00,15,15,,5,2,0,94.1,64,21,19,4,24,0,125,2,0,5,368,0.933,6.1,0.4,2.3,11.9,5.21
Chris Wall,23,CCM,AMWC,NAIA,11,,1,.917,1.92,2.60,12,12,,7,3,0,79.2,48,23,17,4,31,,138,8,2,2,317,0.992,5.4,0.5,3.5,15.6,4.45
Bryce Afthim,20,USM,LEC,NCAA,10,,1,.909,2.47,2.78,19,2,,1,1,1,58.1,48,18,16,2,23,4,53,3,2,3,238,1.217,7.4,0.3,3.5,8.2,2.30
Brett Aker,--,ACU,GSAC,NAIA,10,,1,.909,5.20,6.44,16,14,,0,0,0,79.2,96,57,46,5,26,,63,11,3,15,368,1.531,10.8,0.6,2.9,7.1,2.42
Pablo Arevalo,23,KEI,TSC,NAIA,10,,3,.769,1.50,2.21,19,17,,10,4,0,126.1,99,31,21,9,7,,118,5,1,2,486,0.839,7.1,0.6,0.5,8.4,16.86
Hunter Barco,20,UFL,SEC,NCAA,10,,3,.769,4.01,4.66,16,16,,1,0,0,83.0,77,43,37,9,26,0,94,15,0,11,368,1.241,8.3,1.0,2.8,10.2,3.62
Tim Brokop,--,STX,CCAC,NAIA,10,,1,.909,4.89,5.42,17,13,,3,1,0,84.2,104,51,46,9,24,,53,21,0,7,400,1.512,11.1,1.0,2.6,5.6,2.21
