Name,Age,Tm,Lg,Lev,W,Aff,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Ben Coker,--,BRC,SAA,NCAA,6,,0,1.000,1.00,1.75,6,6,,2,1,0,36.0,21,7,4,1,8,0,39,5,0,4,142,0.806,5.3,0.3,2.0,9.8,4.88
Logan Mann,22,SAG,SOAC,NAIA,6,,2,.750,2.91,5.40,15,0,,0,0,3,21.2,20,13,7,1,7,,11,4,0,0,92,1.246,8.3,0.4,2.9,4.6,1.57
Max Moreno,--,WJP,GSAC,NAIA,6,,0,1.000,2.30,2.59,8,4,,1,1,0,31.1,22,9,8,2,8,,27,3,0,2,126,0.957,6.3,0.6,2.3,7.8,3.38
Luisdiego Quintana,--,LSS,RRAC,NAIA,6,,0,1.000,4.12,4.88,10,4,,0,0,1,24.0,19,13,11,3,28,,33,2,0,1,118,1.958,7.1,1.1,10.5,12.4,1.18
Justin Rasmussen,22,BIN,CRS,NAIA,6,,1,.857,2.56,3.74,9,8,,2,1,0,45.2,30,19,13,1,18,,37,8,0,4,192,1.051,5.9,0.2,3.5,7.3,2.06
Justin Sanders,--,WMT,GSAC,NAIA,6,,0,1.000,1.38,2.08,7,6,,0,0,0,39.0,30,9,6,0,10,,36,4,0,6,159,1.026,6.9,0.0,2.3,8.3,3.60
Gabriel Sequeria,--,TWU,SOAC,NAIA,6,,0,1.000,2.11,3.06,8,8,,2,1,0,47.0,38,16,11,2,13,,82,11,1,3,203,1.085,7.3,0.4,2.5,15.7,6.31
Tanner Solomon,21,WBU,SOAC,NAIA,6,,1,.857,2.09,3.03,7,7,,1,0,0,38.2,32,13,9,2,16,,49,3,0,0,164,1.241,7.4,0.5,3.7,11.4,3.06
Rylan Tinsley,19,CSS,CCAA,NCAA,6,,0,1.000,1.20,1.20,6,6,,2,0,0,45.0,26,6,6,2,7,0,40,6,0,1,167,0.733,5.2,0.4,1.4,8.0,5.71
Chris Wall,22,CCM,AMWC,NAIA,6,,0,1.000,0.81,1.35,6,6,,1,0,0,33.1,11,5,3,1,20,,69,3,0,3,130,0.930,3.0,0.3,5.4,18.6,3.45
Brock Beacham,--,LYC,AMWC,NAIA,5,,0,1.000,3.86,4.34,13,0,,0,0,3,18.2,13,9,8,0,21,,21,6,0,7,96,1.821,6.3,0.0,10.1,10.1,1.00
Kyle Brennan,21,BEL,OVC,NCAA,5,,0,1.000,1.45,2.89,9,0,,0,0,3,18.2,14,6,3,2,4,1,23,0,0,1,74,0.964,6.8,1.0,1.9,11.1,5.75
Will Carpenter,--,FSH,ANI,NAIA,5,,1,.833,3.11,3.35,8,6,,2,0,1,37.2,36,14,13,2,11,,47,2,0,0,156,1.248,8.6,0.5,2.6,11.2,4.27
Caleb Coffey,--,MOB,SSAC,NAIA,5,,1,.833,2.87,3.73,10,2,,0,0,2,31.1,22,13,10,3,7,,30,0,0,0,126,0.926,6.3,0.9,2.0,8.6,4.29
Cole Connolly,--,TTX,RRAC,NAIA,5,,1,.833,1.35,1.58,6,6,,3,0,0,40.0,30,7,6,1,8,,29,5,0,1,158,0.950,6.8,0.2,1.8,6.5,3.63
Dakota Crowell,--,MMU,SSAC,NAIA,5,,0,1.000,6.41,8.10,5,5,,0,0,0,26.2,27,24,19,1,7,,31,4,0,1,122,1.275,9.1,0.3,2.4,10.5,4.43
Joe Cuomo,21,BYN,APAC,NAIA,5,,0,1.000,1.57,3.52,6,0,,0,0,0,23.0,23,9,4,0,2,,29,1,0,3,91,1.087,9.0,0.0,0.8,11.3,14.50
Quinton Driggers,--,NWB,SAC,NCAA,5,,1,.833,3.21,4.18,14,0,,0,0,3,28.0,18,13,10,3,10,0,38,4,0,1,115,1.000,5.8,1.0,3.2,12.2,3.80
Devin Dudal,--,CSU,PBC,NCAA,5,,0,1.000,3.44,3.93,6,6,,0,0,0,36.2,45,16,14,4,8,0,35,3,0,0,159,1.445,11.0,1.0,2.0,8.6,4.38
Jimmy Endersby,22,CUI,PWC,NCAA,5,,0,1.000,1.88,1.88,5,5,,2,1,0,28.2,15,6,6,3,6,0,37,0,0,2,107,0.733,4.7,0.9,1.9,11.6,6.17
Antonio Frias,22,FAU,SSAC,NAIA,5,,1,.833,3.86,3.86,6,6,,0,0,0,35.0,18,15,15,2,15,,53,5,0,5,141,0.943,4.6,0.5,3.9,13.6,3.53
Izzy Fuentes,24,HIU,GSAC,NAIA,5,,0,1.000,2.22,3.70,6,6,,0,0,0,24.1,20,10,6,1,4,,40,1,0,1,105,0.986,7.4,0.4,1.5,14.8,10.00
Easten Garrett,--,MAN,HAAC,NAIA,5,,1,.833,3.21,3.21,6,5,,4,1,0,33.2,27,12,12,1,11,,33,0,1,2,137,1.129,7.2,0.3,2.9,8.8,3.00
Kory Goodrich,--,BIN,CRS,NAIA,5,,1,.833,3.43,4.63,9,8,,1,0,0,44.2,40,23,17,0,20,,35,4,1,2,196,1.343,8.1,0.0,4.0,7.1,1.75
Tyler Gregory,--,WPU,HAAC,NAIA,5,,1,.833,5.50,5.75,10,5,,0,0,2,36.0,37,23,22,6,17,,36,3,1,4,162,1.500,9.3,1.5,4.3,9.0,2.12
Jeremiah Hardy,--,VSU,D2IN,NCAA,5,,0,1.000,4.17,4.61,9,4,,3,,2,41.0,43,21,19,0,22,0,37,4,0,4,184,1.585,9.4,0.0,4.8,8.1,1.68
Jacob Head,--,WUT,MIAA,NCAA,5,,1,.833,3.98,4.26,6,6,,0,0,0,31.2,33,15,14,3,16,0,31,0,0,2,143,1.547,9.4,0.9,4.5,8.8,1.94
Kyle Hentis,21,LWU,GLVC,NCAA,5,,0,1.000,0.29,1.45,5,5,,1,0,0,31.0,13,5,1,0,12,0,36,4,0,1,121,0.806,3.8,0.0,3.5,10.5,3.00
Matt Hunt,--,GGC,ANI,NAIA,5,,0,1.000,3.29,4.61,6,4,,0,0,0,27.1,26,14,10,2,11,,30,1,0,1,118,1.354,8.6,0.7,3.6,9.9,2.73
Chandler Ingram,24,MTV,GSC,NCAA,5,,1,.833,1.27,2.22,13,1,,0,0,4,28.1,20,7,4,1,6,1,30,1,0,0,112,0.918,6.4,0.3,1.9,9.5,5.00
Chris Isaac,--,STU,KCAC,NAIA,5,,1,.833,4.38,5.11,6,6,,5,0,0,37.0,37,21,18,1,11,,30,7,1,6,167,1.297,9.0,0.2,2.7,7.3,2.73
Jonathan Jimenez,21,OLL,RRAC,NAIA,5,,2,.714,1.80,3.38,7,7,,1,1,0,40.0,37,15,8,0,18,,48,4,0,2,172,1.375,8.3,0.0,4.1,10.8,2.67
Jakob Kirman,22,CLK,HAAC,NAIA,5,,1,.833,2.92,2.93,6,6,,5,2,0,40.0,30,13,13,5,10,,61,5,0,3,161,1.000,6.8,1.1,2.3,13.7,6.10
Hunter Kloke,21,ISE,RSC,NAIA,5,,0,1.000,2.45,2.76,7,6,,0,0,0,29.1,22,9,8,0,9,,24,2,0,0,117,1.057,6.8,0.0,2.8,7.4,2.67
Garrett Molnar,--,VAN,GSAC,NAIA,5,,1,.833,5.19,5.97,7,7,,0,0,0,34.2,35,23,20,3,13,,38,7,1,2,161,1.385,9.1,0.8,3.4,9.9,2.92
Bryce Mulcahy,21,SEU,TSC,NAIA,5,,0,1.000,2.31,2.31,7,6,,1,0,1,35.0,21,9,9,0,13,,45,7,0,2,143,0.971,5.4,0.0,3.3,11.6,3.46
Michael Newman,--,UAV,CPAC,NAIA,5,,1,.833,5.97,6.23,8,7,,1,0,0,34.2,32,24,23,2,16,,35,9,0,3,158,1.385,8.3,0.5,4.2,9.1,2.19
Kenny Otero,--,CMU,HAAC,NAIA,5,,0,1.000,0.79,1.06,6,6,,2,1,0,34.0,23,4,3,1,14,,30,3,0,2,133,1.088,6.1,0.3,3.7,7.9,2.14
Jesse Ramirez,--,TWU,SOAC,NAIA,5,,1,.833,1.77,2.43,10,6,,2,2,2,40.2,38,11,8,2,6,,49,6,1,1,167,1.082,8.4,0.4,1.3,10.8,8.17
Austin Rotramel,24,WIL,RRAC,NAIA,5,,1,.833,3.34,5.91,6,6,,3,0,0,35.0,23,23,13,0,21,,34,5,0,4,157,1.257,5.9,0.0,5.4,8.7,1.62
Carson Schlegel,20,LAN,PBC,NCAA,5,,1,.833,1.53,2.80,6,5,,1,1,0,35.1,28,11,6,1,7,0,22,3,0,6,146,0.991,7.1,0.3,1.8,5.6,3.14
Zach Smith,21,SAU,GAC,NCAA,5,,0,1.000,1.40,2.33,6,5,,0,0,0,38.2,25,10,6,1,9,0,35,3,0,4,154,0.879,5.8,0.2,2.1,8.1,3.89
Braden White,--,KTN,CCar,NCAA,5,,1,.833,3.60,3.90,6,6,,0,0,0,30.0,29,13,12,1,9,0,23,4,0,6,134,1.267,8.7,0.3,2.7,6.9,2.56
Colton Williams,24,USA,SOAC,NAIA,5,,0,1.000,0.61,1.52,5,5,,1,0,0,29.2,14,5,2,1,3,,36,0,1,0,108,0.573,4.2,0.3,0.9,10.9,12.00
Logan Workman,21,LEE,GSC,NCAA,5,,0,1.000,0.21,0.86,6,6,,2,1,0,42.0,12,4,1,0,16,0,53,2,0,0,153,0.667,2.6,0.0,3.4,11.4,3.31
Drew Young,--,AFS,LSC,NCAA,5,,1,.833,5.12,5.68,6,6,,1,0,0,31.2,41,20,18,0,7,0,21,4,0,1,149,1.516,11.7,0.0,2.0,6.0,3.00
Will Abbott,22,MOC,CCar,NCAA,4,,0,1.000,2.36,2.36,6,6,,1,0,0,34.1,25,9,9,3,9,0,37,3,0,0,137,0.990,6.6,0.8,2.4,9.7,4.11
Wes Anderson,22,LNO,SSAC,NAIA,4,,1,.800,2.68,2.68,7,7,,0,0,0,40.1,30,12,12,0,12,,41,6,0,1,166,1.041,6.7,0.0,2.7,9.1,3.42
Garrett Arredondo,--,TXT,LSC,NCAA,4,,0,1.000,1.16,1.54,5,5,,0,0,0,23.1,16,4,3,0,8,0,31,2,0,3,95,1.029,6.2,0.0,3.1,12.0,3.88
Hunter Avery,--,MOB,SSAC,NAIA,4,,0,1.000,2.65,3.62,6,6,,1,1,0,37.1,47,15,11,1,5,,28,1,0,3,165,1.393,11.3,0.2,1.2,6.8,5.60
Jordan Bahnuk,21,SCC,SOAC,NAIA,4,,0,1.000,1.15,2.30,7,1,,0,0,1,15.2,15,4,2,2,4,,20,3,0,3,71,1.213,8.6,1.1,2.3,11.5,5.00
Cam Bailey,22,MGC,SSAC,NAIA,4,,2,.667,2.11,2.82,7,7,,0,0,0,38.1,33,12,9,2,15,,35,5,0,0,165,1.252,7.7,0.5,3.5,8.2,2.33
Trent Baker,21,ASU,LSC,NCAA,4,,1,.800,3.13,3.13,6,6,,0,0,0,37.1,25,13,13,2,8,0,48,2,0,4,146,0.884,6.0,0.5,1.9,11.6,6.00
Luke Baley,22,TSU,LSC,NCAA,4,,1,.800,2.86,6.95,10,3,,0,0,1,22.0,29,17,7,1,8,0,25,3,0,3,109,1.682,11.9,0.4,3.3,10.2,3.13
David Beck,--,UOZ,ASWC,NCAA,4,,0,1.000,3.25,3.90,5,5,,2,2,0,27.2,17,12,10,3,13,0,37,11,0,4,123,1.084,5.5,1.0,4.2,12.0,2.85
Blake Benson,21,UOZ,ASWC,NCAA,4,,0,1.000,1.89,3.24,5,5,,1,0,0,33.1,26,12,7,1,12,0,27,2,2,1,137,1.140,7.0,0.3,3.2,7.3,2.25
Trever Berg,22,TPB,LSC,NCAA,4,,1,.800,3.79,5.05,6,6,,3,2,0,35.2,34,20,15,3,7,0,33,9,0,1,154,1.150,8.6,0.8,1.8,8.3,4.71
Jesse Bergin,20,ULA,P12,NCAA,4,,0,1.000,1.27,1.27,4,4,,0,,0,21.1,13,3,3,1,7,0,27,0,0,0,82,0.938,5.5,0.4,3.0,11.4,3.86
Nate Blain,18,MDU,WHAC,NAIA,4,,1,.800,4.08,5.02,7,5,,0,0,0,28.2,26,16,13,4,11,,42,3,3,5,128,1.291,8.2,1.3,3.5,13.2,3.82
Billy Blair,22,CMI,WHAC,NAIA,4,,0,1.000,1.50,1.88,5,5,,0,0,0,24.0,12,5,4,0,16,,25,3,1,2,101,1.167,4.5,0.0,6.0,9.4,1.56
Jacob Blatney,--,TXT,LSC,NCAA,4,,0,1.000,3.04,3.71,6,4,,0,0,0,26.2,27,11,9,2,9,0,36,1,0,4,115,1.350,9.1,0.7,3.0,12.2,4.00
Steven Bower,--,NGC,PBC,NCAA,4,,2,.667,3.86,5.06,6,6,,1,0,0,37.1,30,21,16,2,13,0,54,2,0,2,152,1.152,7.2,0.5,3.1,13.0,4.15
Hunter Brantley,--,SAU,GAC,NCAA,4,,1,.800,4.50,4.50,6,6,,0,0,0,34.0,27,17,17,3,22,0,39,2,0,12,148,1.441,7.1,0.8,5.8,10.3,1.77
Cason Brown,--,TMC,APAC,NAIA,4,,2,.667,2.50,2.50,6,6,,2,1,0,36.0,28,10,10,1,10,,22,6,1,1,143,1.056,7.0,0.3,2.5,5.5,2.20
Brock Browning,--,MLG,APAC,NAIA,4,,1,.800,2.38,2.91,6,5,,2,1,0,34.0,25,11,9,3,18,,23,4,0,3,141,1.265,6.6,0.8,4.8,6.1,1.28
Marlin Brucato,21,WJP,GSAC,NAIA,4,,2,.667,6.57,7.54,7,7,,0,0,0,37.0,43,31,27,5,11,,35,5,1,2,169,1.459,10.5,1.2,2.7,8.5,3.18
Calvin Bush,22,CUA,ASWC,NCAA,4,,0,1.000,1.74,1.74,6,5,,0,0,0,31.0,15,6,6,0,19,0,44,6,1,5,124,1.097,4.4,0.0,5.5,12.8,2.32
Avery Cain,20,KTN,CCar,NCAA,4,,1,.800,2.27,3.41,6,5,,0,0,0,31.2,26,12,8,1,10,1,33,4,0,1,136,1.137,7.4,0.3,2.8,9.4,3.30
Drew Calohan,22,FER,ODAC,NCAA,4,,0,1.000,3.34,5.01,5,5,,1,0,0,32.1,28,18,12,2,9,0,27,2,0,3,134,1.144,7.8,0.6,2.5,7.5,3.00
