Name,Age,Tm,Lg,Lev,BA,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Zach Cornell,22,SEU,TSC,NAIA,.519,,27,125,108,43,56,12,2,10,44,6,4,12,12,.576,.944,1.520,102,3,4,0,1,
Luis Vargas,24,WBU,SOAC,NAIA,.495,,30,121,103,49,51,9,1,20,55,6,1,12,22,.562,1.184,1.746,122,1,5,0,1,
Tim Bouchard,22,KEI,TSC,NAIA,.490,,26,120,102,30,50,8,1,5,29,3,1,15,12,.555,.735,1.290,75,0,1,1,1,
Michael Slaten,22,BDC,HAAC,NAIA,.442,,29,123,104,33,46,12,2,10,37,14,4,11,20,.520,.885,1.405,92,2,7,0,1,
Cody Muncy,--,OWU,KCAC,NAIA,.429,,28,123,105,35,45,6,1,12,39,2,1,11,14,.512,.848,1.360,89,3,7,0,0,
Austin Moya,--,WBU,SOAC,NAIA,.396,,30,127,106,36,42,6,0,2,23,10,3,12,14,.464,.509,.973,54,1,4,2,3,
Landon Riker,--,VAN,GSAC,NAIA,.396,,27,127,101,30,40,11,0,7,32,15,0,20,9,.496,.713,1.209,72,1,3,0,3,
Junior Renwick,--,KTN,CCar,NCAA,.386,,24,112,101,28,39,12,1,3,15,3,0,7,11,.446,.614,1.060,62,,4,0,0,1
Tyler Thompson,--,CNC,SAC,NCAA,.379,,25,116,103,25,39,5,2,4,20,4,4,7,12,.422,.583,1.005,60,,3,0,3,0
Alex Fisher,--,WPU,HAAC,NAIA,.378,,30,136,111,36,42,4,4,2,25,10,0,17,14,.485,.541,1.026,60,4,6,2,0,
Trevor Clemons,--,NCP,PBC,NCAA,.373,,23,120,102,35,38,5,2,2,26,6,4,15,12,.454,.520,.973,53,,1,1,1,0
Yan Ely Adames,--,MAC,SOAC,NAIA,.372,,31,131,113,26,42,10,0,4,29,3,0,10,21,.458,.566,1.024,64,0,8,0,0,
Edgar Martinez,--,MAC,SOAC,NAIA,.372,,31,132,113,30,42,11,0,3,26,8,5,10,13,.439,.549,.988,62,1,6,0,3,
Mason Dinesen,21,KEI,TSC,NAIA,.364,,26,125,107,35,39,9,2,4,34,6,0,12,10,.432,.598,1.030,64,0,3,0,3,
Jonah Hultberg,--,CID,CCC,NAIA,.362,,29,129,105,11,38,8,1,1,18,8,0,17,9,.457,.486,.943,51,1,4,0,3,
Dede Cole,--,HSC,AMWC,NAIA,.353,,28,115,102,25,36,5,2,3,20,5,1,11,21,.426,.529,.955,54,0,2,0,0,
Anders Green,--,WJP,GSAC,NAIA,.352,,29,124,108,27,38,10,0,4,21,1,0,9,25,.415,.556,.970,60,0,4,1,2,
Dominic Masciel,--,HNU,PWC,NCAA,.350,,25,116,100,21,35,5,0,6,19,1,0,12,17,.431,.580,1.011,58,,3,0,1,1
Haloa Dudoit,--,CUI,PWC,NCAA,.347,,24,119,101,27,35,8,0,0,12,4,3,12,10,.422,.426,.848,43,,2,3,1,0
Keola Viloria,--,UAV,CPAC,NAIA,.345,,29,133,110,34,38,5,2,0,12,20,3,15,21,.435,.427,.862,47,2,4,2,2,
Taylor Garcia,--,WMT,GSAC,NAIA,.340,,27,124,100,19,34,3,1,0,13,5,1,16,10,.426,.390,.816,39,0,2,2,4,
Alex Dodd,--,BUM,CPAC,NAIA,.339,,29,128,112,20,38,8,0,0,21,2,1,5,10,.406,.411,.817,46,2,9,0,2,
Jameson Hart,--,WPU,HAAC,NAIA,.337,,30,124,104,27,35,7,1,4,39,3,1,16,17,.423,.538,.961,56,1,1,1,2,
Jarratt Mobley,22,NCP,PBC,NCAA,.337,,23,113,104,21,35,6,0,4,32,1,1,5,9,.357,.510,.867,53,,0,1,3,0
Ryan Nolan,--,CID,CCC,NAIA,.337,,28,119,104,20,35,3,1,0,13,9,0,13,16,.412,.385,.796,40,0,1,0,1,
Kelvin Volquez,--,CBC,AMWC,NAIA,.337,,26,112,101,29,34,9,2,4,22,7,0,8,14,.393,.584,.977,59,1,2,0,1,
Gregory Ozuna,25,WBU,SOAC,NAIA,.331,,30,134,124,37,41,11,5,5,31,11,0,7,23,.358,.621,.979,77,0,0,0,3,
Jake Bryan,--,TGA,TSC,NAIA,.330,,26,104,103,12,34,5,0,7,27,1,0,1,18,.337,.583,.919,60,4,0,0,0,
Manny Villa,--,ACU,GSAC,NAIA,.330,,26,109,100,15,33,5,0,1,16,4,2,4,8,.380,.410,.790,41,3,4,1,0,
Marco Rivera,--,WBU,SOAC,NAIA,.324,,30,123,105,23,34,8,0,4,24,15,1,14,13,.415,.514,.929,54,1,3,0,1,
Michael Avilucea,--,BUM,CPAC,NAIA,.320,,26,117,103,24,33,8,0,4,26,3,1,11,15,.393,.515,.908,53,2,2,0,1,
