Name,Age,Tm,Lg,Lev,W,Aff,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Luke Heimlich,22,ORS,P12,NCAA,16,,3,.842,2.92,3.47,21,20,,0,0,0,129.2,104,50,42,5,28,0,159,20,0,5,530,1.018,7.2,0.3,1.9,11.0,5.68
Jonathan Bermúdez,22,SEU,TSC,NAIA,15,,2,.882,1.95,2.52,17,16,,2,1,0,110.2,70,31,24,6,31,,153,6,1,9,437,0.913,5.7,0.5,2.5,12.4,4.94
Tucker Burgess,23,NGU,CCar,NCAA,14,,3,.824,2.98,3.35,18,18,,2,1,0,96.2,102,36,32,9,15,0,89,5,1,2,410,1.210,9.5,0.8,1.4,8.3,5.93
J.T. Hintzen,22,FSC,SSC,NCAA,14,,0,1.000,1.77,2.14,32,2,,1,0,2,96.2,62,23,19,7,13,0,114,6,1,3,374,0.776,5.8,0.7,1.2,10.6,8.77
Kolton Ingram,21,CSU,PBC,NCAA,14,,3,.824,2.18,2.71,19,19,,3,2,0,136.1,98,41,33,3,54,0,150,8,0,10,553,1.115,6.5,0.2,3.6,9.9,2.78
Blaine Knight,22,UOA,SEC,NCAA,14,,0,1.000,2.80,3.12,19,19,,0,0,0,112.1,96,39,35,18,25,0,102,7,3,1,456,1.077,7.7,1.4,2.0,8.2,4.08
Connor Reeves,22,SBU,CAC,NCAA,14,,3,.824,1.19,1.64,20,12,,6,3,2,120.2,71,22,16,1,17,0,113,8,0,6,463,0.729,5.3,0.1,1.3,8.4,6.65
Orlando Rodriguez,22,STU,TSC,NAIA,14,,1,.933,2.75,3.29,16,16,,1,1,0,98.1,62,36,30,10,59,,125,12,3,17,420,1.231,5.7,0.9,5.4,11.4,2.12
Jordan Scott,23,SEU,TSC,NAIA,14,,1,.933,2.40,3.42,15,15,,1,1,0,97.1,83,37,26,5,29,,108,3,0,10,400,1.151,7.7,0.5,2.7,10.0,3.72
Bradly Cammack,--,GCS,PBC,NCAA,13,,2,.867,2.54,2.86,24,4,,1,0,5,85.0,90,27,24,4,25,0,99,6,1,4,371,1.353,9.5,0.4,2.6,10.5,3.96
Tyson Campbell,--,LYC,AMWC,NAIA,13,,2,.867,2.78,3.56,18,16,,8,0,1,103.2,92,41,32,9,23,,116,18,0,7,437,1.109,8.0,0.8,2.0,10.1,5.04
Travis Moths,22,TTU,OVC,NCAA,13,,3,.813,3.96,4.75,20,17,,0,0,0,102.1,97,54,45,13,40,0,109,5,2,3,440,1.339,8.5,1.1,3.5,9.6,2.73
Ricky Conti,--,SWR,CENT,NCAA,12,,3,.800,2.60,2.99,15,13,,2,1,0,93.1,74,31,27,5,23,0,61,13,0,8,389,1.039,7.1,0.5,2.2,5.9,2.65
Kyle Fimbrez,23,OWU,KCAC,NAIA,12,,0,1.000,2.89,3.28,15,15,,6,4,0,93.1,62,34,30,5,35,,99,14,1,4,382,1.039,6.0,0.5,3.4,9.5,2.83
Nathan Malinovsky,22,TLU,SCAC,NCAA,12,,2,.857,1.38,2.03,18,14,,6,3,2,110.2,75,25,17,2,44,0,108,3,1,10,451,1.075,6.1,0.2,3.6,8.8,2.45
Brady Singer,21,UFL,SEC,NCAA,12,,3,.800,2.55,3.35,17,17,,1,1,0,113.0,84,42,32,9,22,0,114,12,3,1,456,0.938,6.7,0.7,1.8,9.1,5.18
Jamie Andriot,--,UTD,ASWC,NCAA,11,,2,.846,3.51,3.80,14,14,,4,0,0,92.1,99,39,36,6,22,0,88,5,1,2,392,1.310,9.6,0.6,2.1,8.6,4.00
Logan Browning,22,FSC,SSC,NCAA,11,,2,.846,3.07,3.31,19,18,,0,0,1,114.1,98,42,39,10,38,0,127,12,1,5,479,1.190,7.7,0.8,3.0,10.0,3.34
Jake Castillo,--,UAV,CPAC,NAIA,11,,0,1.000,4.44,4.53,19,13,,2,0,1,93.1,103,47,46,6,37,,67,14,1,7,413,1.500,9.9,0.6,3.6,6.5,1.81
Stephen Chamblee,22,BYN,APAC,NAIA,11,,1,.917,3.43,3.87,15,15,,3,2,0,102.1,96,44,39,12,28,,131,8,0,6,429,1.212,8.4,1.1,2.5,11.5,4.68
Joe Corbett,21,WTA,LSC,NCAA,11,,2,.846,3.05,3.61,14,14,,4,1,0,97.1,87,39,33,7,20,0,100,11,1,5,394,1.099,8.0,0.6,1.8,9.2,5.00
Dylan Drgac,--,TLU,SCAC,NCAA,11,,2,.846,3.19,3.63,20,17,,4,1,1,121.1,112,49,43,2,33,0,117,12,0,9,505,1.195,8.3,0.1,2.4,8.7,3.55
Jesse Ford,--,PGA,APAC,NAIA,11,,2,.846,4.37,5.73,17,16,,3,2,0,92.2,87,59,45,6,51,,82,13,0,7,424,1.489,8.4,0.6,5.0,8.0,1.61
Logan Gilbert,21,STE,ASun,NCAA,11,,2,.846,2.72,2.96,16,16,,0,0,0,112.1,71,37,34,10,25,0,163,9,0,1,436,0.855,5.7,0.8,2.0,13.1,6.52
Josiah Gray,20,LEM,NE10,NCAA,11,,0,1.000,1.25,1.74,13,13,,3,1,0,93.1,63,18,13,2,20,0,105,6,0,3,361,0.889,6.1,0.2,1.9,10.1,5.25
Jonathan Groff,--,NMS,WAC,NCAA,11,,3,.786,2.83,3.63,17,16,,2,0,0,101.2,103,41,32,8,31,0,89,1,0,1,430,1.318,9.1,0.7,2.7,7.9,2.87
Charlie Hecht,--,GCS,PBC,NCAA,11,,1,.917,3.03,3.20,17,16,,2,1,0,104.0,88,37,35,7,25,0,125,5,0,2,424,1.087,7.6,0.6,2.2,10.8,5.00
Tanner Lawson,21,SEU,HLC,NCAA,11,,3,.786,2.75,3.20,15,15,,9,3,0,98.1,82,35,30,8,22,0,91,11,1,10,411,1.058,7.5,0.7,2.0,8.3,4.14
Olivier Mailloux,--,UNO,WHAC,NAIA,11,,3,.786,3.33,3.82,18,18,,2,1,0,92.0,89,39,34,3,24,,77,3,2,4,392,1.228,8.7,0.3,2.3,7.5,3.21
Tyler Mitzel,22,ASD,NSUN,NCAA,11,,0,1.000,2.02,2.24,15,12,,3,2,0,80.1,68,20,18,4,18,0,76,10,1,4,325,1.071,7.6,0.4,2.0,8.5,4.22
Sean Mooney,20,SJN,BigE,NCAA,11,,3,.786,2.56,2.65,16,16,,0,0,0,95.0,74,28,27,7,28,0,104,5,0,6,389,1.074,7.0,0.7,2.7,9.9,3.71
Tommy Parsons,22,ADR,MICA,NCAA,11,,0,1.000,1.72,2.11,13,12,,10,2,1,94.0,82,22,18,2,7,0,109,3,0,2,370,0.947,7.9,0.2,0.7,10.4,15.57
Hunter Peck,21,GGC,ANI,NAIA,11,,0,1.000,4.45,5.96,15,15,,1,1,0,83.0,80,55,41,7,27,,85,8,4,6,361,1.289,8.7,0.8,2.9,9.2,3.15
Jack Perkins,20,STE,ASun,NCAA,11,,3,.786,2.80,3.57,18,17,,2,0,0,106.0,98,42,33,1,32,0,108,9,0,1,455,1.226,8.3,0.1,2.7,9.2,3.38
Jake Pilarski,20,VWC,ODAC,NCAA,11,,0,1.000,2.15,2.54,16,12,,3,2,0,92.0,68,26,22,2,35,0,80,6,0,5,382,1.120,6.7,0.2,3.4,7.8,2.29
Ryan Potts,21,SHP,MEC,NCAA,11,,2,.846,2.90,3.25,16,15,,5,2,1,102.1,98,37,33,7,31,0,118,5,1,9,435,1.261,8.6,0.6,2.7,10.4,3.81
Dylan Powers,22,RDT,APAC,NAIA,11,,4,.733,2.59,3.49,17,16,,5,1,0,100.2,94,39,29,5,26,,86,1,0,5,413,1.192,8.4,0.4,2.3,7.7,3.31
Clayton Rabiej,--,UAV,CPAC,NAIA,11,,1,.917,3.66,4.38,18,17,,1,0,0,113.0,111,55,46,12,52,,96,8,1,10,502,1.442,8.8,1.0,4.1,7.6,1.85
Chris Rodriguez,22,STU,TSC,NAIA,11,,1,.917,2.95,3.87,15,15,,2,2,0,88.1,77,38,29,9,25,,85,7,0,5,369,1.155,7.8,0.9,2.5,8.7,3.40
Evan Rogers,--,TTX,RRAC,NAIA,11,,3,.786,2.82,3.32,15,15,,3,1,0,89.1,76,33,28,1,28,,75,9,1,8,369,1.164,7.7,0.1,2.8,7.6,2.68
Austin Root,--,SSU,WAC,NCAA,11,,3,.786,2.93,3.30,18,14,,2,0,1,95.1,82,35,31,5,16,0,70,10,0,4,388,1.028,7.7,0.5,1.5,6.6,4.38
Nick Roth,21,RMC,ODAC,NCAA,11,,1,.917,3.13,3.74,15,15,,1,0,0,89.0,90,37,31,2,8,0,78,6,1,6,363,1.101,9.1,0.2,0.8,7.9,9.75
Colin Selby,20,RMC,ODAC,NCAA,11,,3,.786,2.60,3.15,15,15,,1,0,0,97.0,80,34,28,2,30,0,126,7,0,10,403,1.134,7.4,0.2,2.8,11.7,4.20
Austin Steel,--,FHU,AMWC,NAIA,11,,2,.846,3.49,4.34,16,14,,3,0,0,95.1,91,46,37,11,23,,74,15,0,5,406,1.196,8.6,1.0,2.2,7.0,3.22
Matt Steindorf,21,WLU,NRWC,NCAA,11,,3,.786,2.87,3.36,15,15,,3,0,0,109.2,107,41,35,8,16,0,67,6,0,3,450,1.122,8.8,0.7,1.3,5.5,4.19
Jacob Stroder,23,SAU,GAC,NCAA,11,,2,.846,3.84,4.28,16,15,,2,0,0,103.0,104,49,44,14,13,0,89,7,0,7,432,1.136,9.1,1.2,1.1,7.8,6.85
Renny Tolentino,21,LSS,RRAC,NAIA,11,,3,.786,2.89,3.57,16,16,,2,1,0,93.1,58,37,30,5,46,,126,13,0,12,402,1.114,5.6,0.5,4.4,12.2,2.74
James Varela,21,CWP,ECC,NCAA,11,,1,.917,2.40,2.49,13,13,,7,3,0,101.1,69,28,27,6,29,0,116,9,0,2,414,0.967,6.1,0.5,2.6,10.3,4.00
Jason Braziel,22,FRU,KCAC,NAIA,10,,1,.909,3.79,4.42,14,14,,5,0,0,99.2,102,49,42,3,28,,86,10,0,12,426,1.304,9.2,0.3,2.5,7.8,3.07
Robert Broom,--,MER,SoCo,NCAA,10,,4,.714,1.70,2.68,31,1,,0,,2,74.0,57,22,14,1,24,2,111,10,0,4,311,1.095,6.9,0.1,2.9,13.5,4.63
Mikhail Cazenave,--,PBA,SSC,NCAA,10,,7,.588,4.68,5.40,18,15,,1,1,0,100.0,99,60,52,9,30,0,101,11,1,4,441,1.290,8.9,0.8,2.7,9.1,3.37
Dariel Checo,--,CMU,HAAC,NAIA,10,,3,.769,4.19,4.85,15,13,,5,1,1,81.2,77,44,38,11,31,,85,6,1,3,363,1.322,8.5,1.2,3.4,9.4,2.74
Dylan Coleman,21,MSU,MVC,NCAA,10,,2,.833,3.77,3.94,17,16,,1,1,0,102.2,74,45,43,7,59,0,129,9,0,16,439,1.295,6.5,0.6,5.2,11.3,2.19
Tyson Cronin,21,OWU,KCAC,NAIA,10,,1,.909,1.21,2.20,13,13,,4,1,0,81.2,56,20,11,4,23,,71,10,1,5,322,0.967,6.2,0.4,2.5,7.8,3.09
Zach De La Garza,20,SMT,HLC,NCAA,10,,3,.769,2.60,3.47,14,14,,5,2,0,93.1,78,36,27,5,38,1,82,6,0,5,402,1.243,7.5,0.5,3.7,7.9,2.16
Andrew Dean,21,UIS,GLVC,NCAA,10,,1,.909,2.87,3.33,16,12,,4,2,0,78.1,58,29,25,3,32,2,74,5,1,8,324,1.149,6.7,0.3,3.7,8.5,2.31
Ian Dimitrie,--,NWM,GLIC,NCAA,10,,3,.769,4.26,5.48,14,14,,3,0,0,88.2,113,54,42,3,24,1,81,9,1,7,415,1.545,11.5,0.3,2.4,8.2,3.38
Colton Eastman,21,CSF,BigW,NCAA,10,,4,.714,2.37,2.91,17,17,,1,1,0,117.2,89,38,31,6,28,0,124,7,1,11,473,0.994,6.8,0.5,2.1,9.5,4.43
Ethan Elliott,21,LMU,SAC,NCAA,10,,3,.769,2.95,3.75,15,14,,3,0,0,100.2,91,42,33,5,21,1,124,6,0,2,416,1.113,8.1,0.4,1.9,11.1,5.90
Bryce Fehmel,21,ORS,P12,NCAA,10,,1,.909,3.19,3.35,20,20,,1,1,0,113.0,98,42,40,11,27,1,64,13,0,4,464,1.106,7.8,0.9,2.2,5.1,2.37
Colton Fletcher,--,CMB,CCAA,NCAA,10,,1,.909,3.06,4.26,13,13,,0,0,0,82.1,68,39,28,3,22,1,76,7,0,3,340,1.093,7.4,0.3,2.4,8.3,3.45
Matt Frisbee,21,NCG,SoCo,NCAA,10,,2,.833,3.45,3.84,15,15,,1,,0,91.1,86,39,35,10,23,0,116,7,1,3,382,1.193,8.5,1.0,2.3,11.4,5.04
Kyle Fulton,22,CMU,HAAC,NAIA,10,,0,1.000,1.09,1.53,19,10,,7,4,4,82.1,52,14,10,2,17,,98,6,3,3,314,0.838,5.7,0.2,1.9,10.7,5.76
Alec Harris,23,MUS,GLVC,NCAA,10,,4,.714,4.46,5.12,17,14,,1,0,0,82.2,72,47,41,4,51,0,60,13,1,10,366,1.488,7.8,0.4,5.6,6.5,1.18
Austin Heenan,--,SBU,CAC,NCAA,10,,4,.714,2.24,3.04,15,15,,3,2,0,100.2,66,34,25,4,55,0,118,13,1,5,425,1.202,5.9,0.4,4.9,10.5,2.15
Nathan Hickey,20,TSU,LSC,NCAA,10,,2,.833,3.33,4.30,16,15,,3,2,0,92.0,98,44,34,7,30,1,96,0,0,5,393,1.391,9.6,0.7,2.9,9.4,3.20
Miller Hogan,21,SLU,A10,NCAA,10,,4,.714,2.64,3.24,16,16,,2,1,0,105.2,82,38,31,12,14,0,133,10,0,4,418,0.909,7.0,1.0,1.2,11.3,9.50
George Kirby,20,ELO,CAA,NCAA,10,,3,.769,2.89,3.59,15,15,,0,0,0,90.1,88,36,29,3,27,0,96,5,0,2,386,1.273,8.8,0.3,2.7,9.6,3.56
