Name,Age,Tm,Lg,Lev,BA,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Miguel Oropeza,--,TAL,SSAC,NAIA,.508,,57,249,183,80,93,21,6,10,69,26,2,43,17,.612,.852,1.465,156,0,14,4,5,
Josh Duarte,--,GTC,MSC,NAIA,.491,,52,217,175,58,86,17,4,11,47,35,2,23,16,.569,.823,1.392,144,0,14,1,4,
Trey Furrey,24,WJP,GSAC,NAIA,.489,,46,212,178,67,87,12,2,16,52,17,5,31,23,.566,.848,1.414,151,0,2,0,1,
Pat McGinn,--,IIT,WHAC,NAIA,.483,,41,185,143,42,69,8,1,0,31,9,2,29,22,.568,.552,1.121,79,1,2,9,2,
Carson Boles,22,LMU,SAC,NCAA,.475,,50,236,183,68,87,24,1,15,68,14,2,40,18,.572,.863,1.435,158,3,8,0,5,2
Mason Cox,--,MLC,UMAC,NCAA,.469,,33,146,128,32,60,10,6,5,30,5,1,8,8,.534,.758,1.292,97,1,10,0,0,1
Jacob Charon,23,LWU,MDWC,NCAA,.468,,41,193,154,56,72,13,2,14,61,11,2,31,33,.570,.851,1.421,131,0,7,0,1,1
Hayden Jatczak,22,SVS,GLIC,NCAA,.468,,59,283,231,90,108,27,4,16,82,8,1,43,26,.551,.827,1.378,191,3,5,0,4,11
Jonathan Logsdon,--,ASU,SIAC,NCAA,.467,,49,239,182,74,85,20,3,7,55,10,6,34,16,.582,.725,1.308,132,2,19,2,2,0
Tommy Kreider,--,UNP,SUNY,NCAA,.466,,46,225,176,61,82,19,3,3,36,20,3,38,21,.560,.659,1.219,116,1,6,0,5,0
Jesse Velders,21,MSU,RMAC,NCAA,.460,,46,196,150,61,69,22,4,10,57,11,1,22,13,.562,.860,1.422,129,2,18,2,4,1
Bryson Lofton,--,BYN,APAC,NAIA,.458,,48,227,190,55,87,18,2,18,66,4,2,33,18,.529,.858,1.387,163,1,0,0,4,
Carter Thomas,20,WSC,NSUN,NCAA,.457,,37,145,127,40,58,11,0,1,24,18,3,12,9,.517,.567,1.084,72,1,5,0,1,0
Chris Knowles,--,GAC,MNIC,NCAA,.456,,37,159,136,41,62,10,2,10,51,9,3,17,17,.522,.779,1.301,106,1,4,0,2,2
Jake Santiago,--,HFD,D3IN,NCAA,.452,,27,117,104,24,47,18,3,4,37,3,1,8,9,.504,.798,1.302,83,3,4,0,1,1
Indy Stanley,24,CCM,AMWC,NAIA,.450,,52,224,191,30,86,13,6,11,57,8,0,22,22,.518,.754,1.272,144,2,8,0,3,
Mac Wainwright,21,SIU,D2IN,NCAA,.449,,48,193,147,55,66,12,1,16,63,18,5,33,17,.532,.871,1.402,128,2,2,3,8,5
Drew Barragan,--,ERA,CPAC,NAIA,.448,,50,242,212,60,95,32,1,16,94,12,0,23,22,.500,.835,1.335,177,3,3,0,4,
Alec Boucher,--,DYC,ECC,NCAA,.448,,39,149,116,32,52,7,3,2,32,7,1,23,10,.541,.612,1.153,71,0,4,3,3,0
Joe Lukancic,--,AUR,NATH,NCAA,.447,,45,207,188,54,84,18,1,2,36,4,1,14,25,.485,.585,1.070,110,2,1,3,1,1
Mike Ramundo,--,ALV,COMC,NCAA,.447,,47,205,179,53,80,22,6,1,38,4,1,14,17,.505,.654,1.159,117,5,9,1,2,1
Sam Strazza,--,UNY,LIBL,NCAA,.446,,35,130,101,39,45,8,2,7,36,1,0,22,16,.555,.772,1.327,78,1,4,2,1,1
Jack Dupuis,21,ONU,CCAC,NAIA,.445,,53,244,191,67,85,11,1,4,46,26,7,29,27,.539,.576,1.115,110,0,16,3,5,
Jack Hines,23,ASD,NSUN,NCAA,.445,,57,241,209,77,93,10,6,21,89,17,2,13,39,.485,.852,1.337,178,2,11,0,8,1
Andrew Kell,21,SBU,C2C,NCAA,.444,,41,188,142,47,63,17,2,6,48,13,4,29,15,.545,.718,1.264,102,0,10,1,6,2
Bryce Petrilla,23,WJP,GSAC,NAIA,.444,,46,180,151,37,67,13,3,9,56,1,2,23,25,.520,.748,1.268,113,0,3,1,2,
Daniel Rogers,--,LRC,ARC,NCAA,.444,,41,199,162,49,72,19,3,8,38,1,2,32,22,.538,.747,1.285,121,4,3,0,2,7
Blaze O'Saben,23,GGC,CAC,NAIA,.443,,62,308,246,116,109,18,13,14,83,50,4,37,33,.533,.793,1.326,195,3,16,4,5,
Darrien McDowell,22,WFL,GSC,NCAA,.442,,58,280,215,77,95,16,1,27,77,7,1,53,34,.565,.902,1.467,194,1,9,2,1,21
Liam Daly,--,SUP,SKYC,NCAA,.441,,39,155,136,42,60,14,4,11,40,11,3,16,11,.500,.846,1.346,115,1,1,1,1,5
