Name,Age,Tm,Lg,Lev,W,Aff,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Matt Crownover,22,CLM,ACC,NCAA,10,,3,.769,1.82,2.31,16,16,,,0,0,109.0,72,28,22,7,37,1,108,2,0,6,435,1.000,5.9,0.6,3.1,8.9,2.92
Andrew Doring,23,JCU,OHAC,NCAA,10,,1,.909,2.17,2.75,11,11,,,0,0,78.2,52,24,19,3,24,0,92,8,1,11,315,0.966,5.9,0.3,2.7,10.5,3.83
Heath Dwyer,22,VCU,A10,NCAA,10,,3,.769,3.01,3.76,18,18,,,0,0,95.2,95,40,32,3,26,0,89,1,1,10,412,1.265,8.9,0.3,2.4,8.4,3.42
Michael Freeman,23,OSU,B12,NCAA,10,,3,.769,1.31,2.13,15,15,,,0,0,109.2,72,26,16,1,29,0,97,1,0,4,427,0.921,5.9,0.1,2.4,8.0,3.34
Brandon Glazer,23,COC,CAA,NCAA,10,,2,.833,2.74,4.36,21,13,,,,1,88.2,84,43,27,7,11,0,49,9,0,2,367,1.071,8.5,0.7,1.1,5.0,4.45
Fernando Gonzalez,23,UWA,GSC,NCAA,10,,2,.833,2.34,2.71,15,15,,,1,0,96.1,82,29,25,4,29,0,96,6,1,11,400,1.152,7.7,0.4,2.7,9.0,3.31
Jacob Hendren,22,ISU,MVC,NCAA,10,,2,.833,2.80,2.97,15,15,,,1,0,106.0,91,35,33,12,24,0,99,7,0,4,430,1.085,7.7,1.0,2.0,8.4,4.13
Jimmy Herget,21,USF,Amer,NCAA,10,,3,.769,2.92,3.19,17,16,,,0,0,101.2,88,36,33,8,36,0,113,13,1,1,435,1.220,7.8,0.7,3.2,10.0,3.14
Kevin Hill,22,USA,SBC,NCAA,10,,0,1.000,1.73,1.92,13,13,,,2,0,93.2,70,20,18,3,38,0,107,5,0,2,386,1.153,6.7,0.3,3.7,10.3,2.82
Cody Hutchinson,--,MSS,MIAA,NCAA,10,,1,.909,2.87,3.16,14,12,,,1,1,94.0,88,33,30,7,20,0,79,10,0,3,393,1.149,8.4,0.7,1.9,7.6,3.95
AlJordan Johnson,20,MIT,NECC,NCAA,10,,1,.909,2.58,3.34,12,9,,,1,1,59.1,48,22,17,0,17,0,56,6,0,7,246,1.096,7.3,0.0,2.6,8.5,3.29
Drasen Johnson,23,UIL,BTen,NCAA,10,,3,.769,2.01,2.62,16,16,,,1,0,116.2,103,34,26,4,17,0,77,4,0,1,461,1.029,7.9,0.3,1.3,5.9,4.53
Jake Johnson,22,SLU,SLC,NCAA,10,,2,.833,3.24,4.01,15,15,,,0,0,94.1,89,42,34,4,28,0,85,11,2,3,408,1.240,8.5,0.4,2.7,8.1,3.04
James Kaprielian,21,ULA,P12,NCAA,10,,4,.714,2.02,2.70,17,16,,,0,0,106.2,86,32,24,7,33,0,114,10,3,5,433,1.116,7.3,0.6,2.8,9.6,3.45
Walker Larson,--,RAM,NJAC,NCAA,10,,3,.769,2.03,2.33,19,13,,,1,2,119.2,101,31,27,5,25,3,96,5,0,8,476,1.053,7.6,0.4,1.9,7.2,3.84
Alejandro Mateo,21,NSE,SSC,NCAA,10,,1,.909,3.83,4.78,14,14,,,1,0,84.2,86,45,36,6,23,0,93,11,1,11,359,1.287,9.1,0.6,2.4,9.9,4.04
Matt Milburn,21,WOF,SoCo,NCAA,10,,3,.769,4.32,4.85,16,16,,,0,0,102.0,108,55,49,8,25,0,87,9,0,16,443,1.304,9.5,0.7,2.2,7.7,3.48
James Naile,22,UAB,CUSA,NCAA,10,,4,.714,2.63,3.28,16,16,,,0,0,109.2,78,40,32,8,32,7,92,9,3,7,449,1.003,6.4,0.7,2.6,7.6,2.88
Josh Oller,--,NLA,SLC,NCAA,10,,2,.833,3.80,4.27,15,15,,,1,0,97.0,110,46,41,3,25,0,57,3,0,8,415,1.392,10.2,0.3,2.3,5.3,2.28
Jaime Paxton,--,TXT,ASWC,NCAA,10,,3,.769,3.45,4.16,14,14,,,1,0,88.2,73,41,34,4,33,0,92,7,0,5,379,1.195,7.4,0.4,3.3,9.3,2.79
Tom Portesy,--,RAM,NJAC,NCAA,10,,1,.909,2.28,2.62,12,11,,,1,0,79.0,62,23,20,1,37,1,89,5,0,4,333,1.253,7.1,0.1,4.2,10.1,2.41
Zach Rodgers,21,UCF,Amer,NCAA,10,,1,.909,2.35,2.80,18,12,,,1,1,99.2,83,31,26,5,37,0,94,9,1,5,421,1.204,7.5,0.5,3.3,8.5,2.54
Ben Schiltz,--,FSU,CAC,NCAA,10,,1,.909,1.52,1.96,13,12,,,0,0,82.2,74,18,14,1,24,0,64,7,0,4,340,1.185,8.1,0.1,2.6,7.0,2.67
Joe Shaw,21,DBU,MVC,NCAA,10,,5,.667,3.46,3.67,16,16,,,0,0,88.1,84,36,34,2,25,0,70,13,0,5,369,1.234,8.6,0.2,2.5,7.1,2.80
Landon Simpson,22,SAU,GAC,NCAA,10,,4,.714,2.66,3.52,17,17,,,4,0,115.0,107,45,34,3,22,0,74,6,1,5,476,1.122,8.4,0.2,1.7,5.8,3.36
Justin Sinibaldi,21,NSU,SLC,NCAA,10,,1,.909,1.40,2.09,13,12,,,2,0,77.1,70,18,12,0,16,0,54,4,1,2,313,1.112,8.1,0.0,1.9,6.3,3.38
Tyler Thompson,23,WVS,MEC,NCAA,10,,2,.833,1.77,2.10,14,13,,,3,0,81.1,69,19,16,0,16,0,82,4,0,2,328,1.045,7.6,0.0,1.8,9.1,5.13
Guillermo Trujillo,22,ORU,SUMT,NCAA,10,,4,.714,4.21,4.72,15,15,,,0,0,87.2,85,46,41,5,26,0,70,6,1,9,371,1.266,8.7,0.5,2.7,7.2,2.69
Ryan Van Assche,--,UMW,CAC,NCAA,10,,1,.909,2.01,2.69,11,8,,,1,0,67.0,43,20,15,0,23,1,77,4,0,6,270,0.985,5.8,0.0,3.1,10.3,3.35
Ryan Baca,--,MSU,RMAC,NCAA,9,,3,.750,3.25,4.23,24,2,,,0,2,55.1,63,26,20,3,11,1,51,3,1,2,235,1.337,10.2,0.5,1.8,8.3,4.64
Jake Baldwin,22,ASH,GLIC,NCAA,9,,1,.900,2.80,3.95,12,12,,,0,0,70.2,62,31,22,5,22,1,75,9,0,8,303,1.189,7.9,0.6,2.8,9.6,3.41
Trevor Belicek,22,AMC,SLC,NCAA,9,,5,.643,2.87,3.29,16,12,,,0,0,87.2,70,32,28,4,22,0,111,8,1,6,358,1.049,7.2,0.4,2.3,11.4,5.05
Grant Bennett,--,TRO,SBC,NCAA,9,,4,.692,3.12,3.54,15,15,,,0,0,106.2,90,42,37,4,29,1,84,5,1,8,440,1.116,7.6,0.3,2.4,7.1,2.90
Toller Boardman,22,UNM,MWC,NCAA,9,,3,.750,3.46,4.17,16,15,,,0,0,101.1,110,47,39,10,17,1,65,7,0,3,425,1.253,9.8,0.9,1.5,5.8,3.82
Craig Brooks,22,CTW,SAC,NCAA,9,,1,.900,1.45,1.73,19,14,,,1,3,99.0,54,19,16,6,34,0,158,6,0,4,389,0.889,4.9,0.5,3.1,14.4,4.65
Danny Brown,22,FLG,PBC,NCAA,9,,3,.750,3.68,4.57,14,12,,,1,0,100.1,101,51,41,11,13,0,93,8,1,1,415,1.136,9.1,1.0,1.2,8.3,7.15
Wesley Camp,--,NWB,SAC,NCAA,9,,2,.818,2.82,3.69,14,12,,,1,0,83.0,91,34,26,1,12,0,77,10,0,5,361,1.241,9.9,0.1,1.3,8.3,6.42
Chris Cano,--,TPB,HLC,NCAA,9,,3,.750,3.12,4.01,14,13,,,0,0,60.2,58,27,21,4,18,0,49,5,0,3,255,1.253,8.6,0.6,2.7,7.3,2.72
Hayden Carter,21,CSB,WAC,NCAA,9,,3,.750,2.44,2.51,17,17,,,2,0,125.1,133,35,34,3,24,2,58,5,3,2,516,1.253,9.6,0.2,1.7,4.2,2.42
Ryan Castellanos,21,NSE,SSC,NCAA,9,,3,.750,3.23,4.05,15,14,,,1,0,97.2,98,44,35,9,17,0,61,7,0,8,419,1.177,9.0,0.8,1.6,5.6,3.59
Kyle Cedotal,21,SLU,SLC,NCAA,9,,2,.818,2.08,2.89,15,15,,,1,0,99.2,82,32,23,3,19,0,95,5,1,10,408,1.013,7.4,0.3,1.7,8.6,5.00
Ben Cejka,22,WLC,WIAC,NCAA,9,,2,.818,2.99,3.38,15,15,,,0,0,93.1,91,35,31,3,34,0,76,17,1,3,418,1.339,8.8,0.3,3.3,7.3,2.24
Shawn Clowers,22,LIB,BigS,NCAA,9,,4,.692,3.80,4.06,19,8,,,1,1,71.0,76,32,30,3,25,2,52,5,0,4,308,1.423,9.6,0.4,3.2,6.6,2.08
Ryan Colegate,21,ODU,GLIC,NCAA,9,,1,.900,1.98,2.72,13,11,,,1,0,72.2,57,22,16,0,16,0,57,9,3,6,293,1.005,7.1,0.0,2.0,7.1,3.56
Luke Crumley,23,ERS,CCar,NCAA,9,,1,.900,4.22,5.25,14,13,,,0,0,70.1,75,41,33,5,25,0,61,12,0,6,315,1.422,9.6,0.6,3.2,7.8,2.44
Jorge Cruz,--,UWA,GSC,NCAA,9,,3,.750,3.03,4.07,15,15,,,0,0,95.0,95,43,32,5,18,0,66,2,0,3,401,1.189,9.0,0.5,1.7,6.3,3.67
Trace Dempsey,22,OSU,BTen,NCAA,9,,3,.750,4.19,4.46,26,0,,,0,7,34.1,29,17,16,2,9,0,32,4,1,2,144,1.107,7.6,0.5,2.4,8.4,3.56
Bryan DiRosario,22,SHP,MEC,NCAA,9,,1,.900,1.90,3.53,12,11,,,1,0,66.1,64,26,14,2,22,0,48,5,0,4,288,1.296,8.7,0.3,3.0,6.5,2.18
Justin Donatella,20,UCS,CCAA,NCAA,9,,3,.750,1.74,2.05,14,14,,,1,0,88.0,60,20,17,2,17,1,111,11,0,9,353,0.875,6.1,0.2,1.7,11.4,6.53
Kyle Dowdy,22,UHN,Amer,NCAA,9,,2,.818,2.45,3.21,19,12,,,2,0,95.1,78,34,26,5,25,0,72,8,1,4,386,1.080,7.4,0.5,2.4,6.8,2.88
Jamie Driver,--,SHP,MEC,NCAA,9,,2,.818,3.74,3.88,12,11,,,0,0,65.0,65,28,27,3,14,0,58,5,0,8,276,1.215,9.0,0.4,1.9,8.0,4.14
Brett Early,--,LAV,SCIA,NCAA,9,,3,.750,3.75,4.04,17,13,,,0,0,93.2,116,42,39,4,21,0,73,7,0,3,414,1.463,11.1,0.4,2.0,7.0,3.48
Connor Eller,21,OBU,GAC,NCAA,9,,2,.818,2.40,3.02,14,14,,,3,0,101.1,92,34,27,5,20,0,72,16,0,2,421,1.105,8.2,0.4,1.8,6.4,3.60
