Name,Age,Tm,Lg,Lev,W,Aff,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Andrew Beckwith,21,CCU,BigS,NCAA,15,,1,.938,1.85,2.62,26,10,,2,0,2,117.0,113,34,24,6,18,0,75,10,2,2,477,1.120,8.7,0.5,1.4,5.8,4.17
Alex Faedo,20,UFL,SEC,NCAA,13,,3,.813,3.18,3.35,17,17,,1,0,0,104.2,87,39,37,6,21,0,133,11,0,5,427,1.032,7.5,0.5,1.8,11.4,6.33
Ryan Foster,22,NCW,CAA,NCAA,13,,2,.867,2.46,3.23,17,17,,3,0,0,117.0,97,42,32,5,26,0,69,3,1,4,471,1.051,7.5,0.4,2.0,5.3,2.65
Tre Hobbs,21,DSU,GSC,NCAA,13,,2,.867,3.18,4.50,16,16,,8,1,0,102.0,118,51,36,6,30,1,70,3,1,7,455,1.451,10.4,0.5,2.6,6.2,2.33
Tyler Wilson,20,URI,A10,NCAA,13,,1,.929,2.29,2.81,15,15,,3,0,0,102.1,53,32,26,7,33,0,122,8,0,8,405,0.840,4.7,0.6,2.9,10.7,3.70
Nathan Bannister,22,UAZ,P12,NCAA,12,,2,.857,2.59,2.85,22,20,,3,1,0,142.1,104,45,41,4,33,5,114,10,0,8,568,0.963,6.6,0.3,2.1,7.2,3.45
Shane Bieber,21,UCB,BigW,NCAA,12,,4,.750,2.74,2.87,18,18,,5,1,0,134.2,126,43,41,5,16,0,109,5,2,4,536,1.054,8.4,0.3,1.1,7.3,6.81
Guillaume Blanchette,22,LCU,HLC,NCAA,12,,2,.857,1.73,2.99,18,16,,8,2,0,114.1,92,38,22,3,18,0,108,3,2,8,457,0.962,7.2,0.2,1.4,8.5,6.00
Drew Harrington,21,ULV,ACC,NCAA,12,,2,.857,1.95,2.03,17,17,,0,0,0,110.2,92,25,24,3,25,0,92,10,1,2,443,1.057,7.5,0.2,2.0,7.5,3.68
Deion Hughes,--,WMO,SLIA,NCAA,12,,2,.857,2.42,2.72,14,14,,9,3,0,89.1,80,27,24,3,24,0,90,6,0,2,367,1.164,8.1,0.3,2.4,9.1,3.75
James Karinchak,20,BRY,NEC,NCAA,12,,3,.800,2.00,2.19,15,15,,0,0,0,94.2,70,23,21,0,43,0,112,4,1,15,399,1.194,6.7,0.0,4.1,10.6,2.60
Kade McClure,20,ULV,ACC,NCAA,12,,0,1.000,2.54,2.77,15,13,,0,0,0,78.0,49,24,22,1,20,0,77,8,1,3,306,0.885,5.7,0.1,2.3,8.9,3.85
Jim McDade,23,MUP,PSAC,NCAA,12,,1,.923,3.05,4.24,15,15,,4,2,0,91.1,97,43,31,5,9,0,70,4,0,5,381,1.161,9.6,0.5,0.9,6.9,7.78
Brendan McKay,20,ULV,ACC,NCAA,12,,4,.750,2.30,2.71,17,17,,1,1,0,109.2,89,33,28,8,42,1,128,3,0,9,458,1.195,7.3,0.7,3.4,10.5,3.05
Brandon Miller,21,MUP,PSAC,NCAA,12,,2,.857,1.42,1.67,15,15,,8,3,0,107.2,63,20,17,2,13,0,115,9,0,2,406,0.706,5.3,0.2,1.1,9.6,8.85
Dalton Moats,21,DSU,GSC,NCAA,12,,3,.800,2.65,3.46,16,16,,6,1,0,112.0,106,43,33,8,25,0,115,6,3,9,466,1.170,8.5,0.6,2.0,9.2,4.60
Logan Shore,21,UFL,SEC,NCAA,12,,1,.923,2.31,2.48,18,18,,3,2,0,105.1,82,29,27,4,19,0,96,9,0,2,412,0.959,7.0,0.3,1.6,8.2,5.05
Cameron Busby,--,GCS,PBC,NCAA,11,,1,.917,3.13,4.00,28,1,,1,0,2,83.1,76,37,29,2,9,1,65,8,1,1,332,1.020,8.2,0.2,1.0,7.0,7.22
