Name,Age,Tm,Lg,Lev,BA,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Cole Turney,24,CUU,MSC,NAIA,.521,,45,206,140,77,73,9,1,32,79,5,1,53,27,.675,1.286,1.960,180,,13,0,0,
Justin Fogel,22,PSA,UEC,NCAA,.497,,34,164,145,54,72,14,2,15,53,8,1,15,10,.549,.931,1.480,135,4,3,0,1,4
Tyler Quade,--,MAC,AMCC,NCAA,.496,,36,166,139,38,69,15,3,4,32,15,3,23,4,.564,.734,1.298,102,3,0,3,1,6
Jhors Gomez,--,SCC,SOAC,NAIA,.493,,59,260,205,82,101,22,5,18,85,4,1,45,26,.592,.912,1.505,187,,8,0,2,
Howie Hatton,--,CCO,UMAC,NCAA,.486,,39,168,138,49,67,10,1,8,55,11,1,22,13,.551,.746,1.297,103,0,3,1,4,3
Ben Watson,22,EZC,LANC,NCAA,.486,,42,213,177,63,86,21,8,7,42,6,4,25,15,.559,.814,1.372,144,0,8,0,3,7
Ivanuel Hernandez,--,FSH,CAC,NAIA,.485,,54,227,198,40,96,17,2,13,66,0,0,23,21,.537,.788,1.325,156,,3,0,3,
Tyler Warr,--,CAI,CSAC,NCAA,.481,,40,179,158,36,76,10,7,3,43,3,2,17,22,.536,.690,1.226,109,5,3,0,1,0
Adam Cootway,21,WWH,WIAC,NCAA,.477,,40,184,149,59,71,13,5,15,67,6,3,18,20,.560,.933,1.493,139,2,14,0,3,3
Sam Paden,--,WWH,WIAC,NCAA,.476,,37,120,105,30,50,13,0,4,36,5,3,12,8,.533,.714,1.248,75,1,2,0,1,0
Christian Homa,--,SRU,COCC,NCAA,.472,,46,195,159,55,75,14,1,5,59,6,3,22,15,.538,.667,1.205,106,1,8,0,6,0
Ryan Major,--,LSS,RRAC,NAIA,.472,,56,243,212,64,100,22,9,2,58,45,6,17,12,.500,.689,1.189,146,,1,7,6,
DJ Van Atten,20,SNU,GAC,NCAA,.470,,49,226,183,59,86,20,0,21,67,1,0,32,27,.562,.923,1.485,169,4,9,0,2,2
Doc Daniels,19,WIL,CSAC,NCAA,.469,,44,174,160,50,75,11,1,4,43,10,1,8,10,.506,.625,1.131,100,3,5,0,1,0
Colin Solinski,--,UPG,AMCC,NCAA,.469,,34,147,113,30,53,12,1,4,41,0,0,27,12,.568,.699,1.268,79,3,3,1,3,1
Jack Anderson,--,CWR,UAA,NCAA,.468,,43,218,190,56,89,25,5,3,45,15,2,19,24,.523,.700,1.223,133,1,6,0,3,0
Dan Gutierrez,24,ROO,CCAC,NAIA,.467,,32,133,107,32,50,10,0,2,25,13,1,9,7,.550,.617,1.167,66,,12,4,1,
Alex Seidleck,--,WIL,CSAC,NCAA,.466,,42,169,146,50,68,9,1,1,36,3,0,18,7,.533,.562,1.094,82,2,4,0,1,0
Maddux Ryan,--,PSH,UEC,NCAA,.463,,46,197,164,52,76,15,1,5,52,13,2,28,16,.546,.659,1.204,108,2,3,1,1,1
Antonio Fernandez,23,MPC,KCAC,NAIA,.460,,53,243,211,35,97,27,2,13,83,5,0,24,32,.508,.791,1.300,167,,2,1,5,
Blake Hall,--,MSE,NATH,NCAA,.460,,34,147,124,44,57,8,2,6,34,19,0,21,22,.537,.702,1.239,87,0,1,0,1,2
