Name,Age,Tm,Lg,Lev,BA,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Alex Madera,22,ARC,FREC,NCAA,.458,,46,215,177,48,81,12,5,3,54,16,6,31,20,.533,.633,1.166,112,0,1,3,3,2
Sam Angelo,22,MSU,NJAC,NCAA,.457,,37,187,138,56,63,17,2,13,54,5,1,42,29,.578,.891,1.469,123,1,3,0,4,3
Edan Perez,--,LWU,MDWC,NCAA,.457,,36,166,138,37,63,10,4,9,42,11,0,17,18,.521,.783,1.304,108,1,6,1,4,0
Landon Mokris,--,GVC,SLIA,NCAA,.455,,39,173,145,36,66,19,0,10,64,2,1,15,14,.509,.793,1.302,115,2,7,0,6,2
Anthony Sharkas,22,MDU,WHAC,NAIA,.455,,53,226,191,66,87,18,7,8,49,13,2,31,22,.527,.749,1.275,143,,1,0,3,
Tanner Garner,--,MSU,RMAC,NCAA,.453,,52,244,214,72,97,26,1,11,57,20,2,21,15,.502,.738,1.240,158,2,4,1,4,0
Austin Rachiele,--,MLA,MSAC,NCAA,.453,,38,170,139,53,63,14,4,14,40,17,4,28,33,.550,.914,1.464,127,0,2,1,0,5
Tim Orr,--,TIF,GMAC,NCAA,.452,,44,186,155,45,70,11,3,9,48,4,1,24,13,.535,.735,1.271,114,1,5,1,1,1
Alec White,--,UAV,CPAC,NAIA,.452,,42,189,157,55,71,17,2,0,31,13,0,19,24,.521,.586,1.107,92,,8,1,4,
Johnny Brucato,--,MSV,SKYC,NCAA,.450,,39,156,129,38,58,8,6,0,33,3,3,24,14,.535,.605,1.140,78,1,1,1,1,0
Kaiden Cardoso,23,UAV,CPAC,NAIA,.450,,44,203,169,61,76,19,2,16,52,7,1,24,35,.517,.870,1.387,147,,5,0,5,
Jordan McKenzie,22,WIL,CSAC,NCAA,.450,,44,190,169,61,76,14,5,9,55,7,2,8,17,.484,.751,1.236,127,0,8,0,5,1
Colin Lombardo,--,WPU,NJAC,NCAA,.449,,40,213,158,77,71,15,3,5,29,11,2,37,15,.590,.677,1.267,107,1,17,1,0,1
Joe Olsavsky,21,JCU,OHAC,NCAA,.449,,33,171,136,41,61,16,1,5,43,23,4,20,11,.529,.691,1.221,94,0,9,1,5,4
JJ Wetherholt,20,UWV,B12,NCAA,.449,,55,268,225,67,101,24,2,16,60,36,8,26,22,.517,.787,1.304,177,2,11,1,5,10
Grayson Downing,--,DMU,NATH,NCAA,.447,,38,179,159,42,71,9,1,0,26,25,1,15,19,.492,.516,1.007,82,0,1,2,2,1
Nolan Schanuel,21,FAT,CUSA,NCAA,.447,,59,289,197,70,88,18,4,19,64,14,1,71,14,.615,.868,1.483,171,11,18,1,2,13
Reggie Williams,23,CSP,RMAC,NCAA,.447,,52,249,206,64,92,25,1,2,47,8,6,28,20,.534,.607,1.141,125,4,12,2,1,0
Steve Yelin,23,WPU,NJAC,NCAA,.447,,40,205,170,61,76,23,1,13,70,4,0,29,17,.527,.824,1.350,140,3,3,0,3,3
Mally Kilbane,--,GCC,PRES,NCAA,.444,,39,182,144,43,64,15,2,2,40,0,0,26,14,.549,.618,1.168,89,2,10,0,2,3
John Nett,22,SCS,NSUN,NCAA,.444,,53,258,216,61,96,21,3,4,53,20,5,31,20,.527,.625,1.152,135,5,8,2,1,1
Edwin Groff,--,KEN,NCAC,NCAA,.443,,33,153,140,38,62,16,4,5,38,2,1,7,26,.477,.721,1.199,101,1,4,0,2,0
Jordan Lala,24,TPA,SSC,NCAA,.443,,53,271,201,79,89,11,1,2,42,33,11,53,30,.566,.537,1.103,108,1,9,4,4,0
Dale Francis,21,ERS,CCar,NCAA,.442,,43,184,154,47,68,10,0,14,51,4,2,27,27,.527,.779,1.306,120,2,2,0,1,2
Christian Garcia,--,WSU,UMAC,NCAA,.441,,36,140,127,38,56,20,0,2,31,8,1,10,22,.482,.646,1.128,82,1,1,1,1,0
Jeremy Renta,--,FSH,CAC,NAIA,.440,,49,194,168,41,74,12,0,5,37,1,0,17,16,.497,.601,1.099,101,,5,1,3,
James Domer,--,UPG,AMCC,NCAA,.439,,37,177,155,53,68,19,6,4,56,11,2,15,5,.492,.716,1.208,111,1,4,0,3,0
Nick George,--,WPU,HAAC,NAIA,.438,,48,183,146,39,64,13,1,2,43,4,0,25,20,.549,.582,1.132,85,,11,1,0,
Kevin Lehner,--,PSH,UEC,NCAA,.438,,42,190,153,49,67,13,0,12,44,3,3,25,29,.537,.758,1.295,116,1,10,0,2,0
Justin Sedin,--,WST,WIAC,NCAA,.438,,30,132,105,28,46,15,0,8,23,0,1,22,13,.553,.810,1.363,85,1,5,0,0,3
Dylan Ditzenberger,24,UNM,MWC,NCAA,.437,,37,154,135,42,59,9,1,2,27,6,0,15,19,.490,.563,1.053,76,1,0,3,1,0
Tyson Gingerich,--,MLC,GMAC,NCAA,.437,,50,231,190,58,83,15,5,0,23,47,7,36,25,.522,.568,1.090,108,0,1,1,3,2
Keaton Gray,--,WRT,ARC,NCAA,.437,,35,169,151,28,66,9,1,0,9,16,3,9,10,.497,.510,1.007,77,0,9,0,0,1
Gunnar Vachris,--,RHO,SAA,NCAA,.437,,39,149,119,35,52,10,1,0,24,5,5,24,16,.541,.538,1.078,64,1,4,1,1,0
Julian Boyd,23,MSU,RMAC,NCAA,.436,,56,252,202,85,88,24,6,10,57,37,5,40,42,.529,.762,1.291,154,3,1,8,1,0
Alex Epp,22,WJC,GLVC,NCAA,.435,,53,239,184,55,80,16,1,8,49,9,1,48,18,.561,.663,1.224,122,0,6,0,1,2
Henry Pelinski,--,EMU,UAA,NCAA,.435,,39,155,124,35,54,6,1,3,33,10,2,20,19,.535,.573,1.108,71,0,9,0,2,0
Ben Weaver,22,WIL,CCIW,NCAA,.435,,38,175,154,40,67,12,3,2,32,9,1,16,10,.491,.591,1.082,91,1,3,0,2,0
Eduardo Acosta,23,LCU,LSC,NCAA,.434,,58,265,221,68,96,15,3,9,68,9,3,35,24,.509,.652,1.161,144,3,4,0,5,5
Asher Bradd,22,UIS,GLVC,NCAA,.434,,51,242,212,61,92,18,3,3,27,21,2,26,24,.496,.590,1.085,125,0,2,0,2,0
Gerardo Cardoza,--,SHR,SCAC,NCAA,.434,,38,166,152,31,66,4,1,1,25,1,0,12,12,.476,.493,.969,75,3,1,0,1,1
Matt Helm,--,FBU,SLIA,NCAA,.434,,41,188,159,33,69,18,0,7,48,0,0,22,24,.511,.679,1.190,108,4,5,0,2,2
Max Nyrop,--,SJM,MNIC,NCAA,.434,,37,161,145,30,63,16,0,5,32,0,0,12,12,.478,.648,1.127,94,5,2,0,2,1
Jonathan Rivera,--,CNY,CUNY,NCAA,.434,,32,134,113,33,49,8,4,4,34,5,0,9,19,.507,.681,1.189,77,1,10,0,2,1
Isaac Nunez,23,SEU,TSC,NAIA,.433,,61,286,233,82,101,15,0,18,61,22,3,35,36,.512,.730,1.242,170,,9,3,6,
Dario Paredes,--,SCC,SOAC,NAIA,.433,,59,255,203,53,88,15,1,21,95,1,0,40,16,.518,.828,1.345,168,,4,0,8,
Reid Lapekas,21,VAS,LIBL,NCAA,.432,,37,164,132,41,57,10,1,0,23,8,2,7,14,.519,.523,1.042,69,1,18,6,1,0
Louis Perona,--,IWU,CCIW,NCAA,.432,,45,202,169,48,73,15,4,2,35,31,3,26,30,.513,.604,1.116,102,0,3,3,1,1
Alex Shane,--,JHU,CENT,NCAA,.432,,45,181,155,52,67,11,2,3,29,4,3,18,11,.489,.587,1.076,91,1,3,1,4,0
Matt Marlow,22,REG,RMAC,NCAA,.431,,55,245,202,62,87,19,3,7,63,14,4,34,15,.510,.658,1.169,133,5,4,0,5,2
D.J. Perron,22,UMD,LEC,NCAA,.431,,37,161,137,40,59,6,1,14,46,4,1,21,16,.509,.796,1.305,109,2,2,0,1,7
Robert Sharrar,--,MSU,RMAC,NCAA,.431,,53,222,197,60,85,11,3,11,55,13,4,18,19,.473,.685,1.158,135,2,1,2,4,0
Dougie DelaCruz,--,MIT,NECC,NCAA,.430,,43,203,165,56,71,24,6,7,60,0,0,14,18,.502,.776,1.278,128,2,17,0,7,4
Uly Duran,--,WCL,CPAC,NAIA,.430,,41,192,165,48,71,19,3,7,51,2,1,12,20,.471,.709,1.180,117,,7,1,7,
Riley Hasson,--,JRI,GNEC,NCAA,.430,,37,165,135,39,58,9,0,2,33,4,1,20,19,.524,.541,1.065,73,1,8,1,1,0
Kayden Kelley,--,HPU,ASWC,NCAA,.430,,33,130,114,29,49,6,0,1,26,2,1,9,8,.485,.509,.993,58,2,5,0,2,0
Rylan Smith,--,GFC,ODAC,NCAA,.430,,38,175,149,45,64,17,0,9,51,1,0,24,20,.509,.725,1.233,108,2,1,0,1,2
AJ Vigliotti,19,CSI,ECC,NCAA,.430,,41,146,121,30,52,10,1,4,34,2,2,22,9,.514,.628,1.142,76,4,1,0,2,0
Noah Campanelli,--,SJF,EMP8,NCAA,.429,,45,221,191,60,82,19,7,8,43,51,3,21,20,.498,.728,1.225,139,3,7,0,2,0
Francis Ferguson,21,ENC,NECC,NCAA,.429,,40,147,119,33,51,6,2,3,31,15,2,20,24,.521,.588,1.109,70,0,5,1,2,0
Kyle McCausland,--,MDB,NESC,NCAA,.429,,40,177,154,44,66,14,2,11,60,9,2,14,22,.469,.760,1.229,117,3,3,0,6,1
Billy Perroz,--,SVC,PRES,NCAA,.429,,40,174,147,42,63,17,4,7,39,3,3,20,13,.494,.741,1.236,109,1,3,0,4,2
Carson Weis,--,WPU,NJAC,NCAA,.429,,39,186,156,39,67,20,1,4,44,1,2,9,17,.505,.647,1.153,101,5,18,0,3,0
Arturo Disla,22,WBU,SOAC,NAIA,.428,,49,194,166,35,71,22,0,12,62,10,3,20,28,.490,.777,1.267,129,,4,0,4,
Joseph Esparza,--,KSU,SIAC,NCAA,.428,,43,198,159,47,68,17,2,16,73,8,2,28,20,.515,.862,1.377,137,0,6,0,5,3
Blake Greenly,--,LBC,UEC,NCAA,.428,,41,183,152,46,65,18,2,12,46,25,2,25,20,.514,.809,1.323,123,2,4,0,2,0
Bryce Novak,22,GAC,MNIC,NCAA,.428,,41,191,166,49,71,11,1,2,28,5,5,16,10,.492,.542,1.034,90,0,7,0,2,0
Parker Knoll,--,LWU,MDWC,NCAA,.427,,36,176,150,49,64,10,1,10,34,21,4,17,35,.494,.707,1.201,106,0,5,2,2,0
Nathan Lancianese,--,EHC,HCAC,NCAA,.427,,38,181,150,40,64,18,2,4,32,17,4,24,26,.522,.653,1.176,98,0,6,1,0,2
Matt Scherrman,22,WOS,WIAC,NCAA,.427,,40,190,157,44,67,17,1,9,54,11,3,22,22,.500,.720,1.220,113,1,6,0,5,1
Dylan Crews,21,LSU,SEC,NCAA,.426,,71,344,258,100,110,16,2,18,70,6,0,71,46,.567,.713,1.280,184,4,14,0,1,5
Sam Kulasingam,21,AFA,MWC,NCAA,.426,,59,294,235,71,100,28,4,6,51,6,4,50,24,.537,.655,1.193,154,2,8,0,1,3
Danny MacDougall,20,EDC,COCC,NCAA,.426,,49,184,155,47,66,19,1,5,32,14,3,16,20,.497,.658,1.155,102,1,9,1,3,0
Nathan Stutz,--,LAR,AMCC,NCAA,.426,,35,150,115,35,49,17,1,10,40,6,1,28,17,.547,.852,1.399,98,1,5,0,2,1
Bren Taylor,22,MUP,PSAC,NCAA,.426,,56,262,216,62,92,17,4,4,46,23,5,31,8,.515,.597,1.112,129,3,12,0,3,3
Charlie Muniz,21,UCU,MSC,NAIA,.425,,57,263,226,31,96,26,0,24,73,0,0,26,32,.489,.858,1.347,194,,6,1,4,
Patrick Whelan,--,HIL,AMCC,NCAA,.425,,44,198,160,34,68,15,6,10,61,6,0,19,17,.505,.781,1.286,125,3,13,0,6,6
Griffin Yastremski,--,KSC,CSAC,NCAA,.425,,39,137,106,33,45,9,0,8,42,2,0,21,20,.547,.736,1.283,78,3,9,0,1,1
Eric Zimmermann,23,MSV,SKYC,NCAA,.425,,37,159,134,34,57,9,2,6,42,0,1,12,15,.497,.657,1.154,88,1,10,0,3,0
