Name,Age,Tm,Lg,Lev,BA,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Adam Zebrowski,20,SJF,EMP8,NCAA,.500,,38,187,148,61,74,13,0,20,70,1,0,26,13,.594,.993,1.587,147,,11,0,2,1
Mack McKisson,--,CAB,ATEC,NCAA,.490,,25,124,100,38,49,14,1,2,38,2,0,19,10,.548,.710,1.258,71,,0,0,5,1
Luis Vargas,25,WBU,SOAC,NAIA,.489,,45,192,174,59,85,13,3,29,77,3,3,10,39,.531,1.098,1.629,191,0,7,0,1,
Colby Martin,20,SHN,ODAC,NCAA,.482,,42,204,170,60,82,14,7,8,55,25,3,28,20,.544,.788,1.332,134,,1,0,5,2
Haydn McGeary,21,MSU,RMAC,NCAA,.481,,47,209,183,67,88,26,2,20,88,0,0,19,20,.541,.973,1.513,178,,6,0,1,3
Aaron Whitley,19,URO,LIBL,NCAA,.475,,32,152,118,48,56,19,5,5,34,28,2,14,11,.572,.847,1.420,100,,17,0,3,1
Liam McGill,23,BRY,NEC,NCAA,.471,,37,172,138,46,65,9,1,9,50,2,0,22,23,.541,.746,1.287,103,,6,0,6,1
Bryce Novak,20,GAC,MNIC,NCAA,.470,,33,144,134,33,63,10,3,3,21,13,3,9,8,.500,.657,1.157,88,,0,0,1,1
Griffin Keller,23,GGC,ANI,NAIA,.469,,61,279,228,89,107,26,4,18,89,17,3,37,28,.545,.855,1.400,195,4,8,0,6,
Dillan Shrum,23,NVR,MWC,NCAA,.468,,35,148,124,35,58,15,1,15,47,1,1,10,19,.527,.968,1.495,120,,10,0,4,5
Tyler Chumita,--,WOO,NCAC,NCAA,.465,,38,167,127,42,59,17,1,1,41,4,2,17,8,.560,.638,1.198,81,,17,1,5,0
Cody Muncy,--,OWU,KCAC,NAIA,.465,,60,269,217,73,101,23,0,27,94,0,0,42,49,.565,.945,1.510,205,3,9,0,1,
Jared Remspecher,--,HLC,AMWC,NAIA,.461,,46,190,165,44,76,19,3,13,64,15,4,15,27,.526,.848,1.375,140,5,9,0,1,
Tanner Orner,--,GCC,PRES,NCAA,.454,,33,134,119,17,54,14,3,0,33,3,0,8,6,.493,.622,1.114,74,,4,0,3,0
Kobe Baker,--,LSA,RRAC,NAIA,.451,,38,131,102,25,46,8,0,1,18,4,3,14,16,.555,.559,1.114,57,0,11,3,1,
Dylan Jacob,--,STK,CPAC,NAIA,.451,,43,184,162,64,73,12,6,20,55,10,0,13,22,.511,.969,1.480,157,1,8,0,1,
Bret Williams,22,PSH,NEAC,NCAA,.450,,38,181,129,55,58,7,1,17,66,16,2,43,19,.586,.915,1.500,118,,5,0,4,4
Turner Hill,22,MRT,OHAC,NCAA,.449,,44,231,196,67,88,18,3,1,32,30,5,21,8,.515,.587,1.102,115,,9,2,3,1
